date,open,high,low,close,volume
2021-07-01,11.7500,18.4500,10.6200,17.6600,7743269
2021-07-02,15.5100,15.9500,11.3000,12.4400,2891669
2021-07-06,11.5500,12.4000,10.3500,11.3900,1129389
2021-07-07,11.5900,12.1500,10.0157,10.9300,762570
2021-07-08,10.1100,10.3399,9.2208,9.6200,472425
2021-07-09,9.9700,10.0700,9.0000,9.7100,406624
2021-07-12,9.8000,10.0000,9.0500,9.3000,562487
2021-07-13,9.3000,11.2300,9.3000,10.6600,2685583
2021-07-14,10.2600,10.5222,9.5600,9.8700,473584
2021-07-15,9.9200,10.2600,9.1800,9.2500,578523
2021-07-16,9.5000,9.8400,8.7800,9.1300,414869
2021-07-19,8.6600,9.6500,8.1101,9.5700,465164
2021-07-20,9.5700,9.5700,8.7821,9.0000,493647
2021-07-21,9.3500,9.4900,8.8800,9.2300,353701
2021-07-22,9.3400,9.4000,8.8300,8.9500,225463
2021-07-23,8.9100,9.2200,8.6700,8.6800,176460
2021-07-26,8.8000,8.9000,8.5200,8.6500,149696
2021-07-27,8.5900,8.6900,7.7300,7.9800,184133
2021-07-28,8.1800,8.6200,7.7100,8.1200,325865
2021-07-29,8.3386,8.9500,7.9100,8.3400,465753
2021-07-30,8.3500,9.6300,8.2100,8.9000,521475
2021-08-02,9.1000,9.3700,8.8500,9.0500,227508
2021-08-03,9.1100,9.1100,8.5000,8.6500,223325
2021-08-04,9.1700,10.2500,8.8500,9.6100,1396825
2021-08-05,9.5400,9.9500,9.1000,9.3900,262334
2021-08-06,9.2700,9.5000,8.7600,9.1200,195837
2021-08-09,9.4900,9.8900,9.0866,9.4000,515465
2021-08-10,9.3600,9.6899,9.0000,9.1000,384918
2021-08-11,9.0800,9.4000,8.6350,9.2500,172781
2021-08-12,9.1800,9.2643,8.7510,8.8700,209065
2021-08-13,9.0100,9.0100,8.1700,8.3000,240137
2021-08-16,8.3600,8.6200,8.0100,8.3500,166039
2021-08-17,8.2600,8.6199,7.7700,8.0500,644116
2021-08-18,8.1100,8.4000,8.0600,8.1300,99089
2021-08-19,8.0600,8.2499,7.4400,7.6900,229630
2021-08-20,7.7100,8.2700,7.7100,8.2500,111489
2021-08-23,8.3000,8.4533,7.9000,8.1200,165330
2021-08-24,8.2500,8.2700,7.9087,7.9700,65840
2021-08-25,8.0100,8.1500,7.7200,7.9200,195623
2021-08-26,8.3000,8.9200,7.9300,8.3100,498041
2021-08-27,8.3000,9.2700,8.2600,9.2600,430933
2021-08-30,9.3100,10.5000,9.2500,10.2500,993720
2021-08-31,10.5300,11.4700,9.8200,10.3900,645449
2021-09-01,10.6100,10.9700,10.4100,10.7900,301668
2021-09-02,10.9400,11.1999,9.6701,10.2000,329417
2021-09-03,10.1400,10.1900,9.8279,9.9100,114974
2021-09-07,9.5300,9.8800,9.1915,9.2800,160325
2021-09-08,9.4300,9.5000,8.7400,9.0300,136100
2021-09-09,9.0300,9.2400,8.5700,8.7300,120208
2021-09-10,8.7300,9.5400,8.7300,9.5000,149396
2021-09-13,9.5600,9.7469,9.0000,9.4900,88757
2021-09-14,9.6000,9.6000,8.4300,8.7300,257208
2021-09-15,8.7600,8.9900,8.4300,8.4400,72778
2021-09-16,8.5000,8.8000,8.1000,8.6400,179978
2021-09-17,8.7000,9.0900,8.3500,8.8300,114750
2021-09-20,8.6000,8.6500,8.0500,8.2300,187275
2021-09-21,8.2600,8.4000,7.6500,7.6800,311635
2021-09-22,7.8000,8.2150,7.7300,7.9700,124145
2021-09-23,7.9000,8.3000,7.8500,8.0900,94690
2021-09-24,8.1000,8.4400,7.8700,8.4000,67101
2021-09-27,8.4000,8.4000,8.1000,8.3200,60710
2021-09-28,8.2100,8.2545,7.5000,7.5000,225423
2021-09-29,7.5000,7.8500,6.8700,7.0000,518397
2021-09-30,7.1200,7.3000,6.7500,7.2900,168905
2021-10-01,7.4000,7.5700,7.0000,7.5700,160037
2021-10-04,7.4900,7.5500,6.9700,7.0400,122638
2021-10-05,7.0300,7.9500,7.0100,7.5200,241931
2021-10-06,7.3300,7.7050,7.2000,7.5100,76251
2021-10-07,7.6800,7.8599,7.2400,7.2500,42446
2021-10-08,7.2700,7.6000,7.2600,7.3100,58341
2021-10-11,7.2900,7.6898,7.2900,7.5700,50564
2021-10-12,7.7300,7.9000,7.6000,7.6000,42465
2021-10-13,7.6800,8.4500,7.6800,8.4500,182811
2021-10-14,8.5000,9.0000,8.3520,8.4000,181914
2021-10-15,8.6000,9.6800,8.4000,9.3800,411984
2021-10-18,9.3400,9.3400,8.6500,8.9100,180082
2021-10-19,8.8100,9.2799,8.1200,8.6400,322182
2021-10-20,8.7900,9.8400,8.5000,9.0100,425091
2021-10-21,9.1100,9.7300,8.8501,9.7300,251589
2021-10-22,9.7700,9.7994,8.8800,9.1000,221034
2021-10-25,9.2800,10.4299,9.1400,10.2500,553654
2021-10-26,10.2500,10.2500,9.2800,9.3500,275917
2021-10-27,9.3700,10.1900,9.1200,9.7100,247506
2021-10-28,10.0500,16.6000,9.7100,14.6800,18979912
2021-10-29,11.3000,13.6000,10.7500,12.8000,3962043
2021-11-01,12.8800,13.8700,12.2500,13.4000,1466862
2021-11-02,13.9000,17.7000,12.2200,12.8800,4434109
2021-11-03,12.8000,13.3900,12.2501,12.5000,562739
2021-11-04,12.5000,13.3000,12.2800,12.5400,443577
2021-11-05,12.5700,13.6996,12.5700,13.0400,566284
2021-11-08,13.1500,14.5000,13.1000,14.0000,634415
2021-11-09,14.4000,15.4800,13.5800,13.8400,569668
2021-11-10,13.9500,15.3400,13.6000,14.3300,733614
2021-11-11,14.5000,14.7400,13.2400,13.6200,343161
2021-11-12,13.5900,14.0600,12.9000,13.9300,300717
2021-11-15,14.1300,17.2100,13.9000,15.2300,2416408
2021-11-16,15.0100,17.4000,14.5000,16.9400,1426017
2021-11-17,20.1500,21.0000,15.6500,17.1300,7244450
2021-11-18,17.2360,17.2360,14.5634,15.0100,790623
2021-11-19,15.3000,16.7874,15.2500,16.1400,648949
2021-11-22,17.0200,17.1000,13.5600,14.3000,715181
2021-11-23,14.0100,14.5000,12.8300,13.2800,392075
2021-11-24,13.3000,14.3499,13.1300,13.4800,400434
2021-11-26,12.9391,13.4400,12.4900,13.3600,301218
2021-11-29,13.8500,13.9999,12.7780,13.0200,315751
2021-11-30,13.2100,13.9614,12.0500,12.3500,419921
2021-12-01,12.6700,13.6100,12.2500,12.3900,314260
2021-12-02,12.2000,12.5009,10.8100,11.4100,779653
2021-12-03,11.6100,11.6600,9.6704,9.8900,605977
2021-12-06,9.9900,10.5862,9.4931,10.2400,281191
2021-12-07,10.6400,10.8902,10.2600,10.7300,423281
2021-12-08,10.1700,10.7699,10.1700,10.3200,293822
2021-12-09,10.3600,10.5000,9.2500,9.4400,424739
2021-12-10,9.5600,9.7948,8.8000,8.9100,318679
2021-12-13,8.8500,9.2800,8.2700,8.9600,372689
2021-12-14,8.8500,9.1972,8.5400,8.9200,251032
2021-12-15,9.0700,9.4300,8.3200,9.4000,269866
2021-12-16,9.5700,9.7470,8.5300,9.1800,283126
2021-12-17,8.8300,10.2400,8.5101,10.2100,362013
2021-12-20,9.0593,10.1400,9.0593,10.0200,190756
2021-12-21,10.2000,11.0000,10.0600,10.9600,434564
2021-12-22,10.9000,11.4200,10.5400,10.9900,210676
2021-12-23,11.0600,11.1000,10.3300,10.4700,169720
2021-12-27,10.4900,10.6400,9.8400,9.9600,229601
2021-12-28,9.9000,10.2000,9.4000,9.7500,189339
2021-12-29,9.7300,10.1599,9.3400,9.8600,125549
2021-12-30,9.8200,10.4900,9.8100,10.1200,108737
2021-12-31,10.0600,10.2500,9.7000,9.8600,108672
2022-01-03,10.1200,10.8300,10.0300,10.6900,197588
2022-01-04,10.7800,10.9150,9.7400,10.5300,267265
2022-01-05,10.2100,10.6000,9.4000,9.4200,204618
2022-01-06,9.3100,9.7650,9.0500,9.3100,95017
2022-01-07,9.3200,9.5500,9.0538,9.2000,66591
2022-01-10,9.0400,9.1964,8.3300,9.1300,166031
2022-01-11,9.0600,9.2499,8.6000,8.7200,223222
2022-01-12,8.8200,9.0000,8.5000,8.5000,150332
2022-01-13,8.4900,8.6672,7.5600,7.7900,296016
2022-01-14,7.6500,8.8600,7.6200,8.7000,164686
2022-01-18,8.5000,9.3000,8.3200,9.2300,245244
2022-01-19,9.5500,10.4400,9.1800,10.4000,724057
2022-01-20,10.7900,11.1000,10.4500,11.0200,532893
2022-01-21,10.9500,11.6500,10.0500,11.4900,655815
2022-01-24,10.8100,10.9600,8.3700,10.3500,658552
2022-01-25,9.5900,9.9000,9.0300,9.3000,239214
2022-01-26,9.7100,9.7100,8.5640,8.6200,147781
2022-01-27,8.9600,9.4900,8.0600,8.2600,323419
2022-01-28,8.2600,8.6700,7.9200,8.6500,105466
2022-01-31,8.7200,9.4719,8.6601,9.4300,141528
2022-02-01,9.5000,9.8800,9.1000,9.7500,155539
2022-02-02,9.7400,9.7450,8.8600,9.6000,113967
2022-02-03,9.1900,9.5000,8.8000,8.8800,98843
2022-02-04,8.8100,9.6614,8.6500,9.3300,91271
2022-02-07,9.3000,10.6900,9.0050,10.4100,633769
