date,open,high,low,close,volume
2017-09-22,0.0141,0.0141,0.0110,0.0110,49329
2017-10-04,0.0160,0.0190,0.0160,0.0180,362942
2017-10-05,0.0180,0.0180,0.0180,0.0180,100
2017-10-10,0.0160,0.0160,0.0160,0.0160,10100
2017-10-23,0.0150,0.0159,0.0150,0.0159,20100
2017-10-27,0.0159,0.0159,0.0159,0.0159,20000
2017-10-30,0.0140,0.0140,0.0090,0.0090,130000
2017-10-31,0.0090,0.0090,0.0085,0.0085,70000
2017-11-01,0.0090,0.0090,0.0090,0.0090,2000
2017-11-02,0.0085,0.0085,0.0057,0.0085,701000
2017-11-03,0.0090,0.0090,0.0070,0.0070,413000
2017-11-06,0.0060,0.0060,0.0020,0.0022,2556965
2017-11-07,0.0029,0.0200,0.0029,0.0183,3517156
2017-11-08,0.0100,0.0180,0.0100,0.0100,3161046
2017-11-09,0.0100,0.0100,0.0041,0.0053,7696142
2017-11-10,0.0053,0.0053,0.0029,0.0032,21432067
2017-11-13,0.0032,0.0039,0.0027,0.0038,8348094
2017-11-14,0.0030,0.0038,0.0025,0.0030,38120577
2017-11-15,0.0029,0.0070,0.0023,0.0058,48346773
2017-11-16,0.0058,0.0066,0.0034,0.0038,36445804
2017-11-17,0.0038,0.0042,0.0031,0.0035,30839639
2017-11-20,0.0036,0.0038,0.0026,0.0030,11730994
2017-11-21,0.0028,0.0034,0.0025,0.0030,40256339
2017-11-22,0.0030,0.0032,0.0025,0.0032,31380069
2017-11-24,0.0033,0.0036,0.0028,0.0032,20268731
2017-11-27,0.0032,0.0032,0.0022,0.0025,17439322
2017-11-28,0.0024,0.0025,0.0021,0.0023,54859494
2017-11-29,0.0023,0.0024,0.0018,0.0020,6874694
2017-11-30,0.0020,0.0025,0.0016,0.0016,85431619
2017-12-01,0.0017,0.0020,0.0012,0.0016,49567276
2017-12-04,0.0016,0.0016,0.0012,0.0012,12433450
2017-12-05,0.0012,0.0016,0.0012,0.0013,40375732
2017-12-06,0.0013,0.0015,0.0010,0.0012,37327344
2017-12-07,0.0011,0.0012,0.0010,0.0011,4189836
2017-12-08,0.0010,0.0017,0.0010,0.0010,33937940
2017-12-11,0.0010,0.0011,0.0008,0.0009,27251094
2017-12-12,0.0010,0.0011,0.0008,0.0010,21092559
2017-12-13,0.0011,0.0011,0.0009,0.0009,4336913
2017-12-14,0.0009,0.0014,0.0009,0.0012,149463226
2017-12-15,0.0012,0.0025,0.0011,0.0024,101463860
2017-12-18,0.0025,0.0026,0.0013,0.0015,63597272
2017-12-19,0.0015,0.0016,0.0011,0.0012,13845886
2017-12-20,0.0011,0.0015,0.0011,0.0014,32938468
2017-12-21,0.0012,0.0013,0.0011,0.0012,9939623
2017-12-22,0.0011,0.0011,0.0008,0.0011,44268621
2017-12-26,0.0011,0.0011,0.0007,0.0008,55884827
2017-12-27,0.0008,0.0012,0.0008,0.0011,30561188
2017-12-28,0.0011,0.0011,0.0009,0.0009,10203315
2017-12-29,0.0011,0.0011,0.0009,0.0009,11457646
2018-01-02,0.0011,0.0014,0.0010,0.0011,40493198
2018-01-03,0.0011,0.0012,0.0010,0.0011,20570736
2018-01-04,0.0011,0.0012,0.0008,0.0009,43758093
2018-01-05,0.0010,0.0010,0.0008,0.0010,12427792
2018-01-08,0.0010,0.0010,0.0008,0.0009,24522250
2018-01-09,0.0010,0.0012,0.0009,0.0010,48464399
2018-01-10,0.0010,0.0010,0.0008,0.0008,17436039
2018-01-11,0.0008,0.0009,0.0007,0.0008,7928855
2018-01-12,0.0008,0.0009,0.0007,0.0009,6822945
2018-01-17,0.0008,0.0009,0.0007,0.0007,12600282
