date,open,high,low,close,volume
2015-07-30,14.0000,14.0000,10.7100,10.8900,5015569
2015-07-31,10.6000,10.7800,9.2000,10.0000,872997
2015-08-03,10.0600,10.5000,9.8900,10.0000,311490
2015-08-04,10.0000,10.3000,10.0000,10.0400,154360
2015-08-05,10.3000,10.3000,9.8600,10.0000,210534
2015-08-06,10.2300,10.2300,9.3700,9.5000,140715
2015-08-07,9.3300,9.4100,8.3100,8.9100,177479
2015-08-10,9.3300,9.5470,8.3300,8.4300,141220
2015-08-11,8.3000,8.9410,7.6600,7.8800,93117
2015-08-12,7.9800,8.2200,7.4200,7.7000,174790
2015-08-13,7.7000,8.2490,7.7000,8.0000,47849
2015-08-14,7.8000,8.2000,7.8000,8.0300,36081
2015-08-17,7.9000,8.9900,7.8200,8.9700,80440
2015-08-18,8.9900,10.2400,8.7001,10.0200,131062
2015-08-19,10.0000,10.2990,9.5700,10.0800,126508
2015-08-20,10.1400,10.3500,9.8307,9.9250,58527
2015-08-21,9.9200,9.9200,8.7200,8.8500,40021
2015-08-24,7.9500,9.8400,7.5000,8.8400,92633
2015-08-25,9.3300,9.3300,8.0500,8.3900,80168
2015-08-26,8.8000,9.0699,8.2200,8.9700,41777
2015-08-27,8.8000,9.4923,8.4700,8.9100,16741
2015-08-28,8.8600,9.8000,8.8600,9.4200,43088
2015-08-31,9.2100,9.9600,8.4601,8.7200,71264
2015-09-01,8.6500,9.4950,8.5210,8.9700,45644
2015-09-02,9.1600,9.4040,8.2700,8.9700,229560
2015-09-03,9.0000,9.7900,9.0000,9.5000,58982
2015-09-04,9.1900,9.8000,9.1000,9.3200,32097
2015-09-08,9.7200,10.0000,9.1000,9.6400,48857
2015-09-09,9.9400,9.9400,9.0900,9.2200,22475
2015-09-10,9.0500,9.6700,8.9000,8.9600,45620
2015-09-11,8.5500,9.5000,8.5400,9.2100,47414
2015-09-14,8.7200,9.2200,8.7200,9.0800,17824
2015-09-15,9.0300,9.4200,8.8000,9.0250,42722
2015-09-16,8.7701,9.3900,8.6320,9.2800,195542
2015-09-17,9.3205,9.8000,9.1000,9.3300,162340
2015-09-18,9.3499,9.4300,7.5600,7.5600,318827
2015-09-21,7.7700,8.1300,7.0300,7.2300,220595
2015-09-22,7.0900,7.2800,6.1500,7.2800,314035
2015-09-23,7.0300,7.4300,6.5100,7.1500,51802
2015-09-24,7.0900,7.2500,6.5900,6.7800,100791
2015-09-25,6.7900,6.8000,6.2720,6.4400,100192
2015-09-28,6.4400,6.7000,5.2700,6.4800,143883
2015-09-29,6.4600,6.9600,6.3501,6.8600,57895
2015-09-30,7.0000,7.4200,6.4800,6.5200,643262
2015-10-01,6.6000,6.6400,5.8150,6.2700,96677
2015-10-02,6.1700,6.9900,5.7210,6.7500,88215
2015-10-05,6.8500,7.1500,6.3900,7.0600,31070
2015-10-06,7.0600,7.0600,6.5000,6.6900,73028
2015-10-07,6.6400,8.0500,6.5250,7.9300,98655
2015-10-08,7.7699,7.7699,7.0300,7.5000,43521
2015-10-09,7.5300,7.8700,7.0140,7.0700,19588
2015-10-12,7.1200,7.2300,6.8500,6.9900,24769
2015-10-13,6.9500,7.3200,6.7001,6.7500,18116
2015-10-14,6.8300,6.9800,6.4800,6.8700,19216
2015-10-15,6.9300,7.6000,6.5500,7.4700,20215
2015-10-16,7.5100,8.1300,7.3450,8.1200,33108
2015-10-19,8.0300,8.1300,7.1780,8.0300,23296
2015-10-20,7.9800,8.2200,7.3000,7.9200,70324
2015-10-21,7.9800,8.0450,7.4078,7.8400,27159
2015-10-22,7.8600,8.0790,7.0700,7.4200,34109
2015-10-23,7.4600,7.8300,7.4600,7.6500,16151
2015-10-26,7.6500,7.8600,7.4200,7.5300,50819
2015-10-27,7.5900,7.8300,6.8200,7.1600,146232
2015-10-28,7.5900,7.8350,7.1000,7.4900,49653
2015-10-29,7.4400,7.8100,7.0356,7.2100,57749
2015-10-30,7.2300,7.8000,7.0100,7.3400,51548
