date,open,high,low,close,volume
2009-01-30,100.0800,105.0100,99.7200,104.5500,211200
2009-02-02,108.1000,108.1000,103.9400,104.2500,307200
2009-02-03,104.1400,104.1400,99.3100,99.3700,172800
2009-02-04,98.2500,100.3900,97.0000,99.7400,153600
2009-02-05,101.6000,103.7900,98.1500,99.1300,243200
2009-02-06,99.0000,99.0200,95.0600,97.7000,147200
2009-02-09,98.3300,100.3200,97.8700,99.3300,121600
2009-02-10,101.0000,105.6600,98.7800,104.6000,256000
2009-02-11,104.0500,104.8300,102.1000,103.0700,83200
2009-02-12,105.2500,108.0000,102.7600,102.7600,96000
2009-02-13,103.2400,103.2400,101.0000,101.9900,108800
2009-02-17,107.0000,110.7800,106.0000,107.0900,83200
2009-02-18,105.0000,109.6800,105.0000,108.2200,76800
2009-02-19,108.0300,109.0500,105.4900,108.2800,44800
2009-02-20,111.8900,116.4000,111.4400,113.3200,153600
2009-02-23,111.0000,119.5200,111.0000,119.3800,89600
2009-02-24,120.0000,120.0000,107.7000,108.0800,134400
2009-02-25,109.2700,113.0400,105.1400,107.4500,160000
2009-02-26,105.9800,109.4100,102.9600,108.5200,76800
2009-02-27,113.7100,113.7100,105.9600,108.6700,108800
2009-03-02,111.0200,118.0200,111.0200,116.3900,160000
2009-03-03,113.0500,118.5500,113.0500,115.9000,147200
2009-03-04,114.9900,114.9900,104.7900,107.8100,153600
2009-03-05,110.6000,114.9900,108.5100,114.3000,185600
2009-03-06,114.9800,115.6100,110.7000,113.3800,224000
2009-03-09,113.5500,114.5000,110.2600,113.8200,128000
2009-03-10,113.0000,113.0000,104.6600,105.3400,172800
2009-03-11,104.0000,106.2000,102.1600,104.5600,332800
2009-03-12,104.3500,105.7000,101.9300,102.7400,480000
2009-03-13,102.2000,105.4900,101.9700,104.2500,505600
2009-03-16,104.0000,108.0200,103.6100,107.9200,531200
2009-03-17,108.9800,109.3000,103.9700,104.1800,537600
2009-03-18,105.1000,106.1100,102.1000,104.4400,704000
2009-03-19,104.9000,109.3400,102.0000,109.3400,576000
2009-03-20,108.5200,116.8600,108.5000,115.9601,723200
2009-03-23,113.0000,114.7500,108.3100,108.6200,672000
2009-03-24,109.5100,110.9349,106.5300,110.4000,524800
2009-03-25,108.0500,111.6400,105.1500,108.6400,659200
2009-03-26,106.6900,106.7000,103.1800,104.3600,595200
2009-03-27,104.4700,107.4100,104.4700,107.3100,473600
2009-03-30,112.0000,116.4500,111.1600,115.2900,768000
2009-03-31,114.4000,114.9799,111.3000,113.2100,595200
2009-04-01,117.0300,118.9900,110.6000,111.1700,627200
2009-04-02,108.0000,110.9600,106.4900,109.3500,787200
2009-04-03,114.0500,114.0500,106.8400,107.4200,422400
2009-04-06,108.3900,109.8400,107.8500,108.0200,550400
2009-04-07,108.8900,110.0000,107.0300,108.0100,563200
2009-04-08,105.7600,108.2900,105.6000,105.7800,454400
2009-04-09,103.0000,103.2500,100.7400,101.8600,454400
2009-04-13,102.5200,103.5140,99.9600,100.3700,300800
2009-04-14,101.7800,102.1300,99.9400,100.4400,531200
2009-04-15,101.0200,101.0200,97.8600,98.0000,332800
2009-04-16,97.0000,97.5300,93.7300,94.9100,390400
2009-04-17,94.9900,96.6000,92.5600,92.7300,499200
2009-04-20,94.5900,100.1200,93.8400,99.5900,646400
2009-04-21,100.4100,101.0700,95.6100,96.0700,294400
2009-04-22,97.2000,97.2000,92.3100,96.2700,307200
2009-04-23,95.9100,97.6000,94.8600,95.8300,332800
2009-04-24,95.4100,96.5700,94.2900,95.6100,262400
2009-04-27,95.9900,98.7699,95.7900,98.3200,390400
2009-04-28,99.3200,99.8400,95.9600,97.1100,332800
2009-04-29,96.8100,96.8100,91.3010,93.0200,288000
2009-04-30,92.8300,94.2611,90.2100,93.7600,326400
2009-05-01,93.5600,94.9300,91.8000,92.5600,134400
2009-05-04,90.9500,91.9600,87.3600,87.6300,460800
2009-05-05,87.8600,89.5900,87.8600,88.3800,326400
2009-05-06,87.7300,87.7300,84.9600,85.3400,192000
2009-05-07,84.5000,87.5600,83.4700,86.5700,262400
2009-05-08,86.2800,86.2800,81.4900,82.6500,294400
2009-05-11,83.6500,85.6900,82.5400,83.3900,275200
2009-05-12,82.7800,85.2000,82.3500,82.9600,326400
2009-05-13,86.0400,86.2300,83.7800,85.5300,332800
2009-05-14,87.3000,87.3000,81.5100,81.9200,384000
2009-05-15,81.5000,84.3900,80.2600,83.4300,204800
2009-05-18,83.4900,83.4900,77.4900,77.8800,377600
2009-05-19,76.9200,78.5100,75.2200,76.3700,243200
2009-05-20,75.8000,77.5200,71.9600,77.3800,825600
2009-05-21,78.4900,83.4600,77.6600,81.7000,1088000
2009-05-22,81.4500,83.8100,80.0200,83.8100,428800
2009-05-26,83.8100,83.8100,76.5200,78.6100,563200
2009-05-27,78.2500,81.1900,76.1500,80.8400,467200
2009-05-28,80.3500,81.8900,78.1700,79.6800,422400
2009-05-29,77.8300,80.0100,77.7300,77.9300,217600
2009-06-01,76.8800,76.9300,73.2300,74.4000,409600
2009-06-02,74.9600,76.1900,72.7200,75.4100,300800
2009-06-03,76.1800,80.2900,75.8500,79.0500,352000
2009-06-04,78.7200,79.1900,76.7900,77.5300,262400
2009-06-05,77.5700,79.1000,75.7200,77.3500,332800
2009-06-08,78.0400,80.0100,76.5100,77.7400,230400
2009-06-09,77.4000,77.4000,73.8900,74.2600,352000
2009-06-10,73.2200,77.5100,73.0200,75.0000,428800
2009-06-11,74.6200,74.6200,71.4800,73.3100,428800
2009-06-12,73.9100,74.0900,71.7700,71.9000,281600
2009-06-15,72.9000,75.2500,72.6850,75.0900,377600
2009-06-16,75.5200,78.7200,74.1700,77.8000,588800
2009-06-17,78.0400,80.2700,77.5801,78.9500,492800
2009-06-18,78.7900,79.6899,76.9400,78.1900,416000
2009-06-19,78.2700,78.2700,75.5000,76.0200,275200
2009-06-22,77.9700,79.9400,76.7300,79.0600,377600
2009-06-23,78.8700,79.8899,77.1700,77.2000,499200
2009-06-24,77.1900,77.1900,73.7820,74.4201,460800
2009-06-25,75.3800,75.3800,70.4900,70.9100,691200
2009-06-26,71.6500,71.9200,69.2700,69.8000,403200
2009-06-29,69.9400,70.2900,66.7801,66.9600,640000
2009-06-30,66.9900,69.0300,65.8700,68.1100,921600
2009-07-01,67.3500,67.9200,66.0800,67.8400,588800
2009-07-02,68.8700,71.6800,68.7900,71.5800,1030400
2009-07-06,72.4700,73.0800,70.5800,70.6700,403200
2009-07-07,71.6100,73.4500,70.8100,72.8400,320000
2009-07-08,73.4900,77.3000,72.4800,74.4000,716800
2009-07-09,73.5000,74.1800,71.9000,73.1800,505600
2009-07-10,73.5900,74.7300,72.8600,73.1500,390400
2009-07-13,73.4800,73.7200,69.9000,70.7000,825600
2009-07-14,70.2400,70.7900,68.6800,69.1400,627200
2009-07-15,67.7400,68.2300,65.9900,67.4300,1536000
2009-07-16,67.8700,67.8900,65.9200,66.3100,1120000
2009-07-17,66.5000,66.6900,65.7500,66.3300,627200
2009-07-20,65.9900,66.5800,64.7800,65.0400,870400
2009-07-21,64.4900,65.3700,63.8900,64.1000,960000
2009-07-22,64.7900,65.0300,60.7900,61.3800,1792000
2009-07-23,61.6400,61.7400,59.3300,59.6200,1536000
2009-07-24,60.0200,60.3900,59.3300,59.3700,608000
2009-07-27,60.2300,60.6800,59.3600,60.0000,736000
2009-07-28,60.9900,62.9699,60.0200,62.5500,1312000
2009-07-29,62.8200,63.9300,62.0500,63.2200,588800
2009-07-30,62.1900,62.3500,60.7800,61.6000,544000
2009-07-31,61.8800,62.1000,60.7600,61.9700,486400
2009-08-03,61.3400,61.7800,60.4700,60.8700,640000
2009-08-04,61.3300,61.5900,60.0200,60.2000,608000
2009-08-05,60.5200,61.1300,59.8100,59.9500,729600
2009-08-06,59.9900,61.1900,59.0800,60.7400,787200
2009-08-07,60.0400,60.7500,57.5100,58.2700,704000
2009-08-10,58.8000,59.6500,58.2700,58.3500,492800
2009-08-11,58.9800,61.5200,58.8800,60.0000,844800
2009-08-12,60.1400,60.3200,58.0500,58.6100,646400
2009-08-13,58.6400,59.4800,57.1400,57.2600,883200
2009-08-14,57.4800,59.5399,57.4800,58.8700,588800
2009-08-17,60.4600,62.3300,60.3800,62.0700,1056000
2009-08-18,61.8800,62.1400,60.4401,60.8500,704000
2009-08-19,61.6900,61.9800,58.3200,58.8900,1081600
2009-08-20,58.6900,58.8800,57.4700,57.7900,531200
2009-08-21,57.2500,57.3300,56.4500,56.7400,1177600
2009-08-24,56.5600,57.2400,56.0700,56.9600,704000
2009-08-25,56.8500,58.6200,56.3500,58.2600,940800
2009-08-26,58.0000,59.0700,57.7140,58.9500,1145600
2009-08-27,58.9600,59.7500,57.4000,57.5100,896000
2009-08-28,56.7500,58.5400,56.6621,58.5100,736000
2009-08-31,59.0900,59.9700,59.0000,59.1700,582400
2009-09-01,59.7700,62.4700,58.4324,62.3600,1433600
2009-09-02,62.5400,62.7400,61.7500,62.6900,780800
2009-09-03,62.5200,62.6100,59.5400,59.7100,908800
2009-09-04,60.0400,60.1000,58.0000,58.0101,972800
2009-09-08,57.5100,57.5400,56.0000,56.0700,1299200
2009-09-09,55.9900,56.2000,54.2000,54.2600,1299200
2009-09-10,54.1700,54.5200,52.0100,52.1100,1747200
2009-09-11,51.9200,53.0800,51.1600,52.7900,1715200
2009-09-14,53.0000,53.6200,51.1900,51.2900,1030400
2009-09-15,51.3500,51.9500,50.7800,51.0000,1152000
2009-09-16,51.0000,51.1800,49.1100,49.5200,1792000
2009-09-17,49.3800,50.2600,48.9000,49.7600,1862400
2009-09-18,49.7000,50.9700,49.2700,50.7000,1043200
2009-09-21,51.4200,51.7500,50.5300,50.7100,1593600
2009-09-22,50.0900,50.3500,49.0000,49.5500,832000
2009-09-23,49.5100,50.2500,47.6000,50.2400,2009600
2009-09-24,49.9900,51.9700,49.6200,50.8600,1580800
2009-09-25,51.3000,51.9100,50.4200,50.9400,1081600
