date,open,high,low,close,volume
2021-11-18,11.9100,19.9000,11.8000,14.5100,45649700
2021-11-19,13.8000,13.8000,10.4900,11.3800,3564783
2021-11-22,11.0699,11.3100,8.2500,8.2500,1865543
2021-11-23,8.4800,8.6300,7.1500,7.6900,1057811
2021-11-24,7.5000,7.6300,6.7900,7.4300,918658
2021-11-26,7.1400,7.8800,6.9640,7.4300,350740
2021-11-29,7.3400,7.4989,6.6800,7.0000,531940
2021-11-30,6.9900,7.0000,5.8000,6.1200,1220754
2021-12-01,6.4100,6.4100,5.2000,5.3900,1014160
2021-12-02,5.3500,5.3500,4.6514,4.7600,1071986
2021-12-03,4.8200,6.6100,4.7500,6.2300,2247115
2021-12-06,6.0400,6.6300,5.5600,6.0200,898488
2021-12-07,6.2400,6.5000,5.8000,5.8100,380511
2021-12-08,6.1900,7.1700,6.0700,6.5600,1016151
2021-12-09,6.7200,7.9800,6.6300,7.2600,1236189
2021-12-10,7.5800,7.7700,6.5300,6.5900,688027
2021-12-13,6.7800,7.1700,6.2200,6.4700,271567
2021-12-14,6.3700,6.5000,5.0800,5.4700,963466
2021-12-15,5.4100,5.7500,5.2500,5.5000,457367
2021-12-16,5.6400,5.6600,4.8500,4.9000,759813
2021-12-17,4.9400,5.3260,4.8300,5.2100,641046
2021-12-20,5.0000,5.2600,4.8800,5.2600,423345
2021-12-21,5.8500,5.8500,5.1600,5.2800,764917
2021-12-22,5.3300,6.6321,5.2700,6.4800,987016
2021-12-23,6.7900,6.9500,6.3200,6.5500,712407
2021-12-27,7.0000,7.2491,6.8000,7.0900,1080809
2021-12-28,7.3925,7.3925,6.7601,7.2500,415432
2021-12-29,7.2500,8.1000,7.1800,7.5000,1344395
2021-12-30,8.0600,8.0998,6.5764,6.7500,1060286
2021-12-31,6.8400,6.9500,6.2500,6.8400,480681
2022-01-03,6.8900,6.8900,6.5000,6.5600,512694
2022-01-04,6.5600,6.6900,6.0600,6.3000,3246122
2022-01-05,7.1600,7.7200,6.4400,6.6100,6644952
2022-01-06,6.4900,6.5867,6.0800,6.2400,633999
2022-01-07,5.9100,6.2054,5.7800,6.0500,417098
2022-01-10,5.9500,5.9700,5.3300,5.8500,557740
2022-01-11,5.7500,6.0900,5.7400,6.0000,526112
2022-01-12,6.0100,6.0500,5.6099,5.7200,493467
2022-01-13,5.6600,5.8921,5.4500,5.5400,1307483
2022-01-14,5.5100,5.6699,5.2500,5.4500,447561
2022-01-18,5.3900,5.3900,5.0400,5.1800,693814
2022-01-19,5.1600,5.2500,4.9400,5.0400,662634
2022-01-20,5.0000,5.4400,4.9655,5.1000,373156
2022-01-21,5.0100,5.3713,4.8500,4.9000,444897
2022-01-24,4.6900,4.8300,3.8600,4.3100,1320378
2022-01-25,4.1800,4.4300,4.1300,4.3000,296285
2022-01-26,4.4400,4.6600,4.1300,4.2300,337353
2022-01-27,4.2000,4.2500,3.6600,3.6900,461404
2022-01-28,3.5400,3.9000,3.5400,3.7000,430413
2022-01-31,3.7500,4.0800,3.7000,3.9500,414449
2022-02-01,3.9700,4.4200,3.9700,4.2800,427449
2022-02-02,4.5400,4.7061,4.1500,4.2000,348480
2022-02-03,4.0600,4.2600,3.9800,4.0500,161001
2022-02-04,4.0200,4.2900,3.9500,4.1800,192382
2022-02-07,4.2200,4.3900,3.9700,4.0300,425605
