date,open,high,low,close,volume
2020-09-02,28.0000,28.0000,13.4400,19.5000,6379923
2020-09-03,21.3800,23.8750,20.5000,23.6700,5725843
2020-09-04,23.7500,23.7500,21.0600,22.7800,1791899
2020-09-08,20.7700,21.8000,20.6000,20.9300,1171118
2020-09-09,20.8500,22.0000,20.3300,21.9900,897857
2020-09-10,21.5200,22.1000,20.8800,21.1500,980155
2020-09-11,20.6200,21.5500,20.4600,20.7000,707422
2020-09-14,21.3500,21.3700,20.7000,20.8600,640222
2020-09-15,20.8500,20.8750,19.4300,19.8900,638310
2020-09-16,19.7900,21.0500,19.7450,20.4200,466384
2020-09-17,20.7000,21.3800,20.5200,20.9900,958467
2020-09-18,20.9100,21.4000,20.6000,20.8500,444612
2020-09-21,20.1000,20.1759,18.5400,18.7200,653605
2020-09-22,18.7600,18.9000,17.3600,17.9000,1115771
2020-09-23,17.6000,18.2400,17.0200,17.1000,616902
2020-09-24,16.8600,18.2493,16.8300,17.9600,454128
2020-09-25,17.7300,18.2900,17.4500,17.7900,464864
2020-09-28,17.7600,19.3400,17.7600,18.6200,517336
2020-09-29,18.4000,18.5400,17.2350,17.4700,828625
2020-09-30,17.5000,18.1800,17.1600,17.2900,475012
2020-10-01,17.1800,17.3800,16.0900,16.1700,839756
2020-10-02,15.4800,17.1900,15.4800,16.8900,627026
2020-10-05,17.1400,17.7400,17.0600,17.6200,471708
2020-10-06,17.9900,18.7900,17.2300,17.2500,769640
2020-10-07,17.5000,18.0000,17.1100,17.8600,331013
2020-10-08,17.9100,19.1700,17.7800,19.1300,520620
2020-10-09,19.3100,19.4900,18.0200,18.7100,398287
2020-10-12,18.4300,18.6200,18.0600,18.2900,232686
2020-10-13,18.0000,18.4500,17.5445,17.6900,280949
2020-10-14,17.6800,17.9300,17.2200,17.3100,462502
2020-10-15,17.0000,17.8600,16.7500,17.8400,281449
2020-10-16,17.6100,17.8600,16.7950,16.8300,261857
2020-10-19,16.7500,17.0725,16.1300,16.4300,555312
2020-10-20,16.4500,16.6100,15.8580,16.1100,329451
2020-10-21,15.9100,15.9200,15.4300,15.6700,344701
2020-10-22,15.4200,16.3700,15.4100,16.3000,358868
2020-10-23,16.2400,16.7200,16.2400,16.5400,254129
2020-10-26,16.2600,16.4455,15.0000,15.9500,640808
2020-10-27,15.8100,15.8500,15.1200,15.1400,338133
2020-10-28,14.6500,14.8500,14.2901,14.3400,307349
2020-10-29,14.0600,14.3700,13.7300,14.2700,611298
2020-10-30,14.2000,14.6900,13.6800,14.6000,311822
2020-11-02,14.5200,15.1800,14.2600,15.0500,300870
2020-11-03,15.4200,15.8500,14.8100,14.8800,305131
2020-11-04,14.9500,15.4500,14.6000,15.1000,207245
2020-11-05,15.2000,16.0000,14.9800,15.1200,382238
2020-11-06,15.3500,16.5000,14.8608,16.1900,808734
2020-11-09,17.5000,18.1100,17.0400,17.5000,720665
2020-11-10,17.9700,19.3100,17.9200,19.2000,1086227
2020-11-11,19.2400,19.8500,18.5458,19.0500,483734
2020-11-12,18.6000,19.2000,17.9540,18.3100,509443
2020-11-13,18.1300,19.1600,18.1300,19.0100,203242
2020-11-16,19.8000,20.0499,19.3800,19.6800,432898
2020-11-17,19.3300,20.1900,18.9700,20.1200,389371
2020-11-18,20.2800,21.0000,18.5500,18.8600,1122363
2020-11-19,18.7000,19.1700,18.4100,18.8600,472815
2020-11-20,19.0100,19.0900,17.9000,18.1900,446876
2020-11-23,18.6800,21.5200,18.6000,21.4400,1195947
2020-11-24,21.8200,23.1599,21.0300,21.6200,985898
2020-11-25,21.3700,22.4300,21.0900,22.3500,581992
2020-11-27,22.3500,23.4170,22.0101,23.1600,339695
2020-11-30,22.6500,23.4000,22.0000,22.6400,595034
2020-12-01,22.9400,24.7350,22.4100,22.5800,807767
2020-12-02,22.8000,23.7500,22.5100,23.1100,572308
2020-12-03,23.3100,24.4300,22.4027,24.1700,687848
2020-12-04,24.4200,26.0900,24.3200,25.9100,984422
2020-12-07,25.2900,25.6500,24.5500,24.9200,386536
2020-12-08,24.7000,25.6830,24.1900,25.3600,484364
2020-12-09,25.7000,26.1700,23.5100,24.0600,608161
2020-12-10,24.0900,26.1000,24.0900,24.3600,804682
2020-12-11,24.3000,25.0300,23.2500,24.7500,411136
2020-12-14,25.3400,25.7100,22.8600,23.6100,636448
2020-12-15,23.7700,24.2154,22.9400,23.8400,514691
2020-12-16,23.8000,25.9500,23.5300,24.4700,648874
2020-12-17,24.6700,25.3300,24.2600,25.2500,487376
2020-12-18,25.0200,26.5000,24.2000,24.2900,3243317
2020-12-21,23.2800,24.4961,22.7900,24.0600,765323
2020-12-22,23.9800,24.1950,23.3800,23.5400,485472
2020-12-23,23.7600,26.4000,23.5691,25.6200,468074
2020-12-24,25.2600,26.1800,24.1900,26.0000,266621
2020-12-28,26.0100,26.3700,25.0650,25.2200,319707
2020-12-29,25.4000,25.6300,24.8800,25.4700,326663
2020-12-30,25.2400,26.2400,25.0500,25.4100,271369
2020-12-31,25.2600,25.5900,24.5600,25.0000,371910
2021-01-04,25.0400,27.0499,24.7700,26.5200,696237
2021-01-05,26.7000,28.3600,26.5250,26.8800,828870
2021-01-06,27.4600,28.3400,26.2884,26.9800,860397
