date,open,high,low,close,volume
2017-08-22,1.4500,1.4500,1.2900,1.3200,286096
2017-08-23,1.2500,1.3490,1.2500,1.3100,206800
2017-08-24,1.3100,1.3800,1.3100,1.3500,275291
2017-08-25,1.3800,1.3800,1.3000,1.3600,146924
2017-08-28,1.3600,1.3800,1.3000,1.3300,247094
2017-08-29,1.3300,1.4100,1.3300,1.3800,284331
2017-08-30,1.3800,1.4000,1.3400,1.3600,113234
2017-08-31,1.3400,1.4100,1.3400,1.3600,187230
2017-09-01,1.3600,1.4400,1.3400,1.4215,267116
2017-09-05,1.4200,1.4400,1.3900,1.4300,129489
2017-09-06,1.4400,1.4400,1.4000,1.4000,58840
2017-09-07,1.4100,1.4400,1.4000,1.4300,154255
2017-09-08,1.4400,1.5000,1.4100,1.4300,250137
2017-09-11,1.4200,1.4700,1.4200,1.4500,129695
2017-09-12,1.4600,1.5200,1.4500,1.5200,545007
2017-09-13,1.5200,1.5700,1.4900,1.5500,469852
2017-09-14,1.5500,1.5657,1.5200,1.5400,131652
2017-09-15,1.5300,1.5300,1.3700,1.3700,371058
2017-09-18,1.4200,1.5000,1.3990,1.4000,343225
2017-09-19,1.4200,1.4400,1.4100,1.4100,190019
2017-09-20,1.4200,1.4400,1.3600,1.3700,348648
2017-09-21,1.3800,1.4200,1.3400,1.4000,270180
2017-09-22,1.4100,1.4200,1.3600,1.4100,214452
2017-09-25,1.3900,1.4500,1.3700,1.3800,180355
2017-09-26,1.3800,1.4100,1.3600,1.3900,100805
2017-09-27,1.3900,1.4000,1.3600,1.3800,69320
2017-09-28,1.3600,1.4200,1.3500,1.4200,386441
2017-09-29,1.3900,1.4400,1.3700,1.4400,176534
2017-10-02,1.4000,1.4200,1.3400,1.3600,365845
2017-10-03,1.3700,1.3800,1.3600,1.3600,207269
2017-10-04,1.3500,1.3800,1.3300,1.3500,220891
2017-10-05,1.3500,1.3800,1.3400,1.3500,266733
2017-10-06,1.3300,1.3701,1.3200,1.3300,411916
2017-10-09,1.3100,1.3400,1.2600,1.2700,518128
2017-10-10,1.2600,1.3200,1.2600,1.2800,308230
2017-10-11,1.2700,1.2990,1.1510,1.2300,541566
2017-10-12,1.2100,1.2600,1.2100,1.2507,206501
2017-10-13,1.2400,1.2600,1.2000,1.2500,347985
2017-10-16,1.2000,1.2370,1.1200,1.1400,614570
2017-10-17,1.1200,1.1786,1.1200,1.1400,151003
2017-10-18,1.1300,1.1800,1.0900,1.1250,550700
2017-10-19,1.1400,1.1411,1.0700,1.1000,507360
2017-10-20,1.0800,1.1300,1.0700,1.1000,249280
2017-10-23,1.1000,1.1000,1.0500,1.0500,345564
2017-10-24,1.0500,1.0600,0.9900,1.0299,526938
2017-10-25,1.0100,1.0100,0.9582,0.9900,372356
