date,open,high,low,close,volume
1999-11-01,25.3100,25.3800,24.6900,25.0000,294800
1999-11-02,25.2500,25.8800,25.0600,25.8800,313700
1999-11-03,25.8800,25.8800,25.3800,25.6200,520900
1999-11-04,24.3800,25.7500,24.0000,25.5600,471500
1999-11-05,25.8100,25.9400,24.9400,25.0000,497200
1999-11-08,25.1200,25.1200,24.5000,24.6900,305500
1999-11-09,24.9400,24.9400,24.5600,24.6200,345200
1999-11-10,24.3800,24.6200,24.1200,24.3800,244200
1999-11-11,24.3800,24.6900,24.2500,24.2500,185500
1999-11-12,24.3100,24.5600,24.1200,24.4400,167100
1999-11-15,24.1900,25.1200,24.1200,24.9400,485500
1999-11-16,24.9400,25.0000,24.2500,24.3800,538500
1999-11-17,24.1200,25.1200,24.0600,24.6200,843200
1999-11-18,24.8100,25.5000,24.6900,25.0000,1100100
1999-11-19,25.1900,25.1900,24.3800,24.8100,721400
1999-11-22,24.6200,25.1900,24.5600,25.0000,773400
1999-11-23,25.1200,25.2500,24.6900,24.9400,611900
1999-11-24,25.1200,25.1200,24.6200,24.7500,528100
1999-11-26,24.5000,24.7500,24.3800,24.6200,195000
1999-11-29,24.6900,24.7500,24.5600,24.6900,610000
1999-11-30,24.7500,25.6900,24.5600,25.3100,931100
1999-12-01,25.0600,25.4400,24.6200,25.2500,542600
1999-12-02,25.2500,27.5600,25.2500,27.4400,1541600
1999-12-03,27.6900,29.3800,27.6900,29.2500,2188200
1999-12-06,29.2500,29.2500,27.3100,27.4400,1421200
1999-12-07,27.7500,28.1200,27.0000,27.6900,1681900
1999-12-08,27.7500,29.0000,27.0000,28.1200,840500
1999-12-09,28.2500,28.8800,28.0000,28.2500,564100
1999-12-10,28.5000,29.9400,28.4400,29.5000,862900
1999-12-13,30.0000,30.7500,29.8800,30.1200,1144800
1999-12-14,29.8800,30.5600,29.8100,30.0600,626400
1999-12-15,29.8100,30.5600,29.8100,30.3300,798100
1999-12-16,30.2500,30.5000,29.1200,29.8100,691400
1999-12-17,29.8100,31.1200,29.1200,30.6900,1214600
1999-12-20,30.3100,30.3800,29.3800,29.6900,1160100
1999-12-21,29.4400,30.6200,29.3800,30.4400,1034100
1999-12-22,30.3800,30.6200,30.0000,30.3800,888400
1999-12-23,30.3100,31.2500,30.3100,31.0600,519500
1999-12-27,30.8800,31.6200,30.7500,31.5000,491200
1999-12-28,31.2500,31.9400,31.2500,31.8100,528500
1999-12-29,31.8100,32.4400,31.5000,31.9400,736800
1999-12-30,31.9400,32.1200,31.7500,32.0000,343500
1999-12-31,31.7500,33.0000,31.6900,33.0000,195300
2000-01-03,32.7500,32.9400,31.5000,31.8100,494100
2000-01-04,30.8100,31.5600,30.1200,30.6200,1202500
2000-01-05,30.8800,31.1900,30.0000,30.9400,1464500
2000-01-06,31.1900,31.6200,30.4400,31.1200,675000
2000-01-07,32.9400,32.9400,31.5600,31.9400,904600
2000-01-10,31.8800,32.2500,31.3800,31.6900,704700
2000-01-11,31.6900,32.0000,31.0600,31.1900,501200
2000-01-12,31.0600,31.3800,30.0600,30.1900,461400
2000-01-13,31.3800,32.3100,30.7500,31.5000,691900
2000-01-14,31.5600,32.2500,30.6900,30.8800,737400
2000-01-18,30.6200,30.6200,28.5000,28.8100,958000
2000-01-19,29.8100,29.9400,28.7500,28.9400,1007100
2000-01-20,29.0000,29.0000,27.5000,28.0000,522700
2000-01-21,27.8800,27.8800,27.0000,27.1200,657500
2000-01-24,27.5000,28.0600,25.9400,26.1900,792500
2000-01-25,26.3800,26.8100,25.7500,26.5000,811100
2000-01-26,26.2500,26.3100,25.2500,25.5600,907400
2000-01-27,25.8100,26.6900,25.8100,26.3100,520700
2000-01-28,26.6900,27.1200,25.5000,25.5600,465800
2000-01-31,25.5000,25.5600,24.5600,24.8800,354000
2000-02-01,25.0000,25.5600,24.8100,24.8800,777200
2000-02-02,25.0000,25.1900,24.8100,24.8100,624100
2000-02-03,24.8100,24.9400,24.1900,24.4400,586800
2000-02-04,24.3100,24.9400,24.1200,24.3100,420000
2000-02-07,24.1200,24.1900,22.9400,23.8800,853500
2000-02-08,24.1200,24.4400,23.6200,23.8100,578800
2000-02-09,24.2500,24.5000,23.7500,23.7500,1013500
2000-02-10,23.8800,23.8800,22.6200,23.0600,812900
2000-02-11,23.5600,23.5600,22.8800,22.9400,1786900
2000-02-14,23.1200,23.8800,22.8800,23.5000,858300
2000-02-15,23.3800,25.2500,23.3800,24.6900,1066300
2000-02-16,25.1200,25.5000,24.6200,25.1200,746900
2000-02-17,24.8800,25.1900,24.2500,24.2500,838500
2000-02-18,23.5000,24.0000,23.1900,23.3800,646300
2000-02-22,23.3800,23.8800,22.8100,23.6900,876800
2000-02-23,23.7500,24.0000,23.0600,23.0600,404000
2000-02-24,23.5600,23.5600,22.2500,22.5000,637500
2000-02-25,22.6200,22.6900,21.3100,21.6200,1133900
2000-02-28,21.7500,22.3800,21.4400,22.0000,892500
2000-02-29,22.0000,22.2500,21.3100,21.8800,689800
2000-03-01,21.6200,21.8100,21.4400,21.4400,750100
2000-03-02,21.5000,21.8800,21.4400,21.4400,621000
2000-03-03,22.0000,23.5600,21.6200,22.1900,627700
2000-03-06,22.1900,22.2500,21.1200,21.3100,485700
2000-03-07,21.2500,21.4400,20.6900,20.6900,768100
2000-03-08,20.7500,21.4400,20.6200,20.9400,630900
2000-03-09,21.1900,21.5600,21.0000,21.3100,551400
2000-03-10,21.5600,22.1900,21.4400,21.7500,610400
2000-03-13,21.5000,22.0000,21.2500,21.4400,378700
2000-03-14,21.3800,22.1200,21.3100,21.5000,1068900
2000-03-15,21.5000,23.5600,21.4400,23.3800,998600
2000-03-16,24.7500,25.5600,23.7500,24.2500,1511000
2000-03-17,23.7500,24.4400,23.2500,23.2500,611100
2000-03-20,23.3800,23.7500,23.1200,23.2500,683100
2000-03-21,23.0000,24.3800,22.8800,23.9400,701500
2000-03-22,23.6900,23.8800,23.1200,23.4400,1062000
2000-03-23,23.4400,23.8800,23.1900,23.3100,626700
2000-03-24,23.3100,23.5000,22.7500,23.0600,599300
2000-03-27,22.8100,23.0000,22.3800,22.3800,273600
2000-03-28,21.8100,22.2500,21.8100,22.0600,918200
2000-03-29,22.7500,23.2500,22.2500,23.0000,840100
2000-03-30,23.6200,25.2500,23.3800,24.5600,1182600
2000-03-31,24.7500,25.5600,24.6200,25.0000,904500
2000-04-03,25.2500,25.3800,24.5600,25.2500,652300
2000-04-04,25.2500,25.5600,24.3100,24.7500,709400
2000-04-05,24.5600,25.1900,24.5600,24.6900,448800
2000-04-06,24.7500,25.6200,24.6200,25.0000,630800
2000-04-07,25.0000,25.0000,24.2500,24.2500,476700
2000-04-10,24.1900,24.8800,24.0600,24.6900,203700
2000-04-11,24.8100,25.4400,24.7500,25.2500,521700
2000-04-12,25.3800,26.2500,25.0600,25.5000,1351200
2000-04-13,25.6900,26.1200,25.1200,25.3800,609200
2000-04-14,25.1200,25.1200,23.5000,23.6900,790300
2000-04-17,23.8100,24.3800,23.4400,23.8100,582600
2000-04-18,23.8800,24.5000,23.8100,24.5000,510100
2000-04-19,24.5000,25.3800,24.5000,24.9400,719400
2000-04-20,25.0000,25.0000,24.1900,24.3100,573700
2000-04-24,24.2500,24.3800,22.8100,23.5000,741500
2000-04-25,23.8800,24.8800,23.8100,24.2500,855900
2000-04-26,24.6900,25.1200,24.4400,24.8100,645600
2000-04-27,24.6200,25.1900,24.6200,24.8100,435600
2000-04-28,25.0600,25.3800,24.8800,25.0600,453600
2000-05-01,25.0000,25.3100,24.8800,25.2500,450700
2000-05-02,25.0600,25.1200,24.1900,24.4400,840000
2000-05-03,24.1200,25.7500,24.1200,25.3800,566900
2000-05-04,25.1200,25.1200,23.9400,23.9400,650800
2000-05-05,24.0600,24.1200,23.8100,23.8800,1190500
2000-05-08,23.8800,23.8800,23.0000,23.0000,2370200
2000-05-09,23.1200,23.6900,23.1200,23.5000,667200
2000-05-10,23.3800,23.6900,22.8800,23.0000,577800
2000-05-11,23.2500,24.0000,23.1900,23.5000,685300
2000-05-12,23.3800,24.0000,23.3800,23.8800,324600
2000-05-15,23.8100,24.3800,23.2500,23.5000,437100
2000-05-16,23.8800,24.8100,23.8800,24.5000,940700
2000-05-17,24.3100,25.0000,24.2500,24.5000,901000
2000-05-18,24.6200,25.1200,24.5600,24.8100,840600
2000-05-19,24.8800,26.8800,24.8100,26.1200,1045100
2000-05-22,26.0000,26.3800,25.6200,25.9400,1730700
2000-05-23,25.6900,25.9400,23.8100,23.8800,1123700
2000-05-24,23.7500,24.5000,23.5600,23.9400,720400
2000-05-25,23.6900,23.7500,23.0000,23.0600,462400
2000-05-26,23.0600,23.0600,22.5000,22.6200,553100
2000-05-30,22.5000,23.6900,22.3100,23.3800,638500
2000-05-31,23.2500,23.3800,22.5000,22.5600,413800
2000-06-01,22.5000,22.6200,22.1200,22.6200,675000
2000-06-02,23.1200,23.1900,22.8800,23.1200,585400
2000-06-05,23.0000,23.0000,22.3800,22.5000,353600
2000-06-06,22.5600,22.6200,21.8100,22.4400,741200
2000-06-07,22.5000,22.6200,21.5000,21.6200,675500
2000-06-08,21.7500,22.3100,21.6200,21.7500,905300
2000-06-09,22.2500,22.2500,21.3100,21.3800,614300
2000-06-12,21.8100,22.4400,21.3100,21.4100,603100
2000-06-13,21.5000,21.5600,21.0000,21.0600,596300
2000-06-14,21.1200,22.0000,21.1200,21.6200,645700
2000-06-15,21.6200,21.8800,20.8800,21.0600,542300
2000-06-16,20.8100,21.0600,20.6900,20.9100,738200
2000-06-19,21.0000,21.0000,20.4400,20.5600,341200
2000-06-20,20.6200,20.6200,19.8800,20.0600,468100
2000-06-21,20.2500,20.2500,19.3800,19.4400,760100
2000-06-22,19.5000,19.5600,18.7500,18.8100,1403500
2000-06-23,18.8800,19.5000,18.8100,19.0000,1402700
2000-06-26,20.7500,20.7500,19.2500,19.4400,1053700
2000-06-27,19.2500,20.0000,19.2500,19.5000,1153000
2000-06-28,19.5000,19.5000,18.8100,18.8900,957500
2000-06-29,18.9400,19.5000,18.4400,19.3800,1414400
