date,open,high,low,close,volume
2017-09-22,5.7500,5.7500,5.7500,5.7500,100
2017-09-25,6.0000,6.0000,6.0000,6.0000,6722
2017-09-26,5.8500,5.8500,5.0000,5.0000,10973
2017-09-27,5.2500,5.5000,5.0100,5.0100,18166
2017-09-28,5.0600,5.0600,5.0600,5.0600,2000
2017-09-29,5.0600,5.1800,5.0000,5.1800,300
2017-10-03,5.2500,5.7000,5.0500,5.4800,2140
2017-10-04,5.2000,5.2500,5.2000,5.2000,2300
2017-10-05,5.0000,5.0000,4.7500,4.7500,1566
2017-10-06,5.0500,5.0500,5.0500,5.0500,600
2017-10-11,5.0500,5.0500,5.0500,5.0500,200
2017-10-16,4.8000,4.9000,4.8000,4.9000,300
2017-10-20,4.9000,4.9000,4.9000,4.9000,30
2017-10-23,5.0000,5.0000,4.7100,4.7100,1300
2017-10-25,4.7100,4.7100,4.7100,4.7100,4
2017-10-26,4.7100,4.7100,4.7100,4.7100,15
2017-10-27,5.2900,5.2900,5.0000,5.0000,8438
2017-10-30,5.0000,5.0000,4.9908,5.0000,3212
2017-10-31,5.0000,5.0000,4.9990,5.0000,4682
2017-11-01,5.0000,5.0000,4.9500,5.0000,43084
2017-11-02,5.1500,5.2900,4.9600,4.9600,18513
2017-11-03,5.0000,5.0000,4.9600,4.9600,2280
2017-11-06,5.0000,5.0000,4.9450,4.9500,7720
2017-11-07,4.9400,5.2900,4.9400,5.0000,1650
2017-11-08,4.9500,4.9500,4.7000,4.8500,4560
2017-11-09,5.0000,5.0000,4.9000,4.9000,5242
2017-11-10,4.9200,5.2000,4.9000,4.9000,29935
2017-11-13,4.9100,4.9100,4.7000,4.7000,1502
2017-11-14,4.7000,4.7000,4.3500,4.5400,3142
2017-11-15,4.5400,4.6500,4.5400,4.6500,575
2017-11-16,4.9200,5.4500,4.3200,4.6000,15029
2017-11-17,4.5100,5.4500,4.5100,5.1500,5817
2017-11-20,5.4000,5.4000,5.2400,5.2400,1490
2017-11-21,5.3500,5.3500,5.1999,5.2000,5653
