date,open,high,low,close,volume
2006-02-06,49.5000,49.5000,49.2000,49.2500,12200
2006-02-07,49.4100,49.5600,49.1000,49.1000,5500
2006-02-08,49.0200,49.0799,48.8000,49.0799,500
2006-02-09,49.6500,50.1700,49.5400,49.5400,12100
2006-02-10,49.2000,49.6800,48.9900,49.6800,5400
2006-02-13,49.2300,49.2300,48.9500,48.9800,39600
2006-02-14,49.3800,49.4400,49.3800,49.4400,200
2006-02-15,49.9399,50.9700,49.9399,50.7101,6600
2006-02-16,51.3700,51.6000,51.2890,51.6000,1200
2006-02-17,51.7500,51.7700,51.6200,51.6900,25500
2006-02-21,51.7000,51.7000,50.7800,50.8700,73100
2006-02-22,51.4100,51.9600,51.3800,51.9599,2400
2006-02-23,51.7500,52.1700,51.7500,52.0899,21200
2006-02-24,52.2500,53.0800,52.2300,53.0800,57600
2006-02-27,54.0000,54.4299,53.6700,54.3499,34800
2006-02-28,54.0000,54.0000,53.1000,53.1500,4400
2006-03-01,53.6200,53.8900,52.9790,53.8199,18300
2006-03-02,53.8000,53.8100,53.3000,53.8100,21400
2006-03-03,53.8000,53.8600,53.4200,53.5710,34100
2006-03-06,53.3500,53.5100,52.8700,53.2000,71800
2006-03-07,52.9000,52.9000,52.0600,52.1500,142700
2006-03-08,52.1000,53.1200,51.6700,53.0200,279800
2006-03-09,52.8100,52.8100,52.2200,52.2600,4700
2006-03-10,51.9200,52.6900,51.9200,52.1200,8700
2006-03-13,52.3300,52.7699,52.0000,52.0000,16700
2006-03-14,52.1000,52.1000,51.7500,51.9500,56900
2006-03-15,52.1600,52.2800,52.1000,52.2800,1500
2006-03-16,52.9000,52.9100,52.2000,52.2000,14500
2006-03-17,51.9500,52.1000,51.9000,52.0700,3200
2006-03-20,51.8200,52.2600,51.6800,51.8700,2700
2006-03-21,51.4400,51.7800,50.8100,50.9200,44900
2006-03-22,50.3000,50.9400,49.7900,50.9200,4400
2006-03-23,51.1000,51.1000,50.4300,50.7200,33800
2006-03-24,50.3900,50.3900,50.0000,50.2000,100000
2006-03-27,50.1600,50.1600,49.9500,50.0300,46400
2006-03-28,49.9200,50.1200,49.6900,49.6900,8300
2006-03-29,49.6899,50.2300,49.6899,50.1500,20800
2006-03-30,50.2000,50.4000,50.0700,50.2400,5700
2006-03-31,50.4800,50.4800,50.0700,50.2700,6000
2006-04-03,50.2700,50.2700,49.4900,49.5200,29100
2006-04-04,49.5400,49.7300,49.4000,49.5500,11200
2006-04-05,49.7500,49.7500,49.2700,49.4000,8700
2006-04-06,48.8500,48.8800,48.3900,48.5699,4900
2006-04-07,48.7800,48.7800,47.8100,47.9100,4100
2006-04-10,47.9600,47.9600,47.6300,47.6700,6900
2006-04-11,47.9200,47.9200,46.6800,46.7500,23900
2006-04-12,46.9500,47.5200,46.9500,47.4000,19100
2006-04-13,47.6200,48.0400,47.6200,48.0400,1800
2006-04-17,48.0200,48.1200,47.1900,47.6300,12500
2006-04-18,47.6400,48.5800,47.6400,48.5300,24800
2006-04-19,48.5300,48.5700,48.2200,48.5700,33600
2006-04-20,48.3800,48.6500,48.3500,48.4800,21600
2006-04-21,48.2100,48.2100,47.8000,47.8200,3300
2006-04-24,47.7800,47.8000,47.3800,47.7900,4200
2006-04-25,47.8400,48.0800,47.3900,47.6000,29600
2006-04-26,47.8000,47.8000,46.9400,47.1500,35900
2006-04-27,46.8500,48.2300,46.8500,47.8900,9200
2006-04-28,47.6400,48.1400,47.6400,47.7900,3800
2006-05-01,48.0100,48.0700,47.2900,47.2900,18700
2006-05-02,47.3500,47.3500,46.4400,46.5900,6200
2006-05-03,46.3600,46.4700,46.1600,46.4700,5100
2006-05-04,46.5500,47.1200,46.5500,47.1000,54300
2006-05-05,47.2000,47.8000,47.2000,47.8000,4100
2006-05-08,47.9500,47.9500,47.6800,47.8100,3500
2006-05-09,47.6100,47.6100,47.3200,47.3900,5200
2006-05-10,47.2000,47.2000,46.7700,46.8700,3200
2006-05-11,46.4800,46.4800,45.9538,46.0300,4900
2006-05-12,45.5500,45.6300,45.2700,45.6100,7400
2006-05-15,45.5300,45.6300,45.3800,45.3800,700
2006-05-16,45.1900,45.1900,44.5200,44.5700,7300
2006-05-17,44.4300,44.5900,43.6700,43.6700,32000
2006-05-18,43.9900,44.0900,42.9400,43.0100,4300
2006-05-19,43.0400,43.2900,42.7700,43.1500,5000
2006-05-22,43.1500,43.3800,42.6700,42.9900,2100
2006-05-23,43.1000,43.3900,42.5300,42.5300,6500
2006-05-24,42.4700,42.9500,41.7682,42.9500,1900
2006-05-25,43.3400,43.8200,43.3400,43.8200,38100
2006-05-26,44.5700,45.0800,44.4745,45.0500,170500
2006-05-30,45.0200,45.0200,44.4200,44.4200,99400
2006-05-31,44.6900,44.9300,44.5900,44.9300,5300
2006-06-01,45.2000,45.4900,45.0600,45.4800,4100
2006-06-02,46.2000,46.2000,45.7800,45.9700,6600
2006-06-05,45.7200,45.7200,44.4100,44.4100,2700
2006-06-06,44.3600,44.5000,44.0000,44.5000,3300
2006-06-07,44.7500,45.4100,44.7500,44.7800,4000
2006-06-08,44.4500,44.8800,43.8000,44.8400,7200
2006-06-09,44.8600,45.3900,44.7500,44.7700,3900
2006-06-12,44.0201,44.6500,43.6700,43.6700,2300
2006-06-13,43.0600,43.7800,42.7600,42.8200,50200
2006-06-14,43.0000,43.2640,42.7600,43.0700,14600
2006-06-15,43.6000,44.3800,43.5400,44.3600,2200
2006-06-16,44.3000,44.3000,43.9600,44.0800,1700
2006-06-19,44.8000,44.8000,43.1000,43.1000,1900
2006-06-20,43.0100,43.2800,43.0100,43.0300,82200
2006-06-21,43.7600,43.7600,43.7600,43.7600,100
2006-06-22,43.3600,43.3600,43.0900,43.1008,800
2006-06-23,43.6100,43.8700,43.5000,43.8700,11200
2006-06-26,44.1700,44.1700,44.0000,44.0000,800
2006-06-27,44.0000,44.0000,43.4734,43.4734,1100
2006-06-28,43.4200,43.4200,43.2200,43.2200,800
2006-06-29,43.8500,44.3200,43.8200,44.3200,2100
2006-06-30,45.5600,46.0900,45.5600,45.8700,27300
2006-07-03,46.1200,46.1200,45.7600,45.8900,2700
2006-07-05,45.8900,45.8900,45.2000,45.3500,54700
2006-07-06,45.7900,46.0500,45.7078,45.9200,46600
2006-07-07,45.5700,45.9960,45.4200,45.6200,11400
2006-07-10,45.4300,45.7300,44.9000,44.9800,7800
2006-07-11,44.7800,45.3000,44.6200,45.3000,1800
2006-07-12,45.8000,45.8000,44.9400,45.2500,31200
2006-07-13,44.5000,44.5400,43.9200,44.0000,4400
2006-07-14,43.9700,44.9700,43.0300,43.3300,2100
2006-07-17,42.9600,43.0700,42.6100,42.8800,62700
2006-07-18,42.8900,42.9300,42.3400,42.8800,12500
2006-07-19,44.3100,44.6700,44.2000,44.4800,7900
2006-07-20,44.3100,44.3100,43.6100,43.7500,16600
2006-07-21,43.1700,43.1800,43.0000,43.1400,500
2006-07-24,44.0000,44.3400,43.9700,44.3400,7300
2006-07-25,44.3500,45.1500,44.3500,45.0400,51500
2006-07-26,44.9800,45.7500,44.9800,45.6600,2100
2006-07-27,45.0000,45.0500,44.4000,44.6200,1800
2006-07-28,45.1200,45.1700,45.0800,45.0800,800
2006-07-31,44.9700,44.9800,44.5600,44.9800,6900
2006-08-01,44.2300,44.2400,43.9700,43.9800,20200
2006-08-02,44.5200,44.8100,44.5000,44.5000,44400
2006-08-03,44.3600,45.1500,44.1300,45.1500,4500
2006-08-04,45.6900,45.6900,44.3900,44.8000,7800
2006-08-07,44.4700,44.4700,43.8000,43.8000,2200
2006-08-08,44.0700,44.1900,43.3300,43.5800,7000
2006-08-09,43.6100,43.9000,43.0700,43.0700,1600
2006-08-10,42.4300,42.8300,42.4300,42.7700,6200
