date,open,high,low,close,volume
2022-01-13,14.7600,14.8000,14.1700,14.2000,1688
2022-01-14,13.8600,14.4196,13.8600,14.4196,1393
2022-01-18,14.9900,14.9900,13.7390,13.7390,842
2022-01-19,13.8700,14.0099,13.8700,14.0099,632
2022-01-20,13.8990,14.0399,13.6800,13.6800,612
2022-01-21,13.3800,13.6000,13.3500,13.3500,1335
2022-01-24,12.9099,13.3897,12.4300,13.3897,3610
2022-01-25,13.0090,13.2647,13.0090,13.2647,445
2022-01-26,13.6099,13.8099,13.6099,13.8099,372
2022-01-27,13.3500,13.3600,12.7000,12.7000,937
2022-01-28,12.5000,13.0190,12.5000,13.0027,1845
2022-01-31,13.0100,13.6128,13.0100,13.6128,450
2022-02-01,13.7348,13.8984,13.5399,13.8984,408
2022-02-02,13.7290,13.7290,13.6490,13.6490,462
2022-02-03,13.2899,13.2899,13.1390,13.1400,1829
2022-02-04,13.0800,13.4600,13.0544,13.2703,1392
2022-02-07,13.8000,13.8000,13.4971,13.4971,756
