date,open,high,low,close,volume
2015-03-09,10.4900,10.4900,10.4900,10.4900,0
2015-03-10,0.2000,0.2000,0.2000,0.2000,0
2015-03-11,0.0100,0.0100,0.0100,0.0100,0
2015-03-12,0.0100,0.0100,0.0100,0.0100,0
2015-03-13,0.0100,0.0100,0.0100,0.0100,0
2015-03-16,9.4000,9.4000,9.4000,9.4000,0
2015-03-17,9.5000,9.5000,9.5000,9.5000,0
2015-03-18,9.4500,9.4500,9.4500,9.4500,0
2015-03-19,9.5000,9.5000,9.5000,9.5000,0
2015-03-20,9.4000,9.4000,9.4000,9.4000,0
2015-03-23,9.5000,9.5000,9.5000,9.5000,0
2015-03-24,9.5000,9.5000,9.5000,9.5000,0
2015-03-25,0.0100,0.0100,0.0100,0.0100,0
2015-03-26,0.0100,0.0100,0.0100,0.0100,0
2015-03-27,9.8500,9.8500,9.8000,9.8000,498900
2015-03-30,9.8000,9.8000,9.8000,9.8000,0
2015-03-31,9.8000,9.8000,9.8000,9.8000,0
2015-04-01,9.8000,9.8000,9.8000,9.8000,0
2015-04-02,9.8100,9.8200,9.8000,9.8100,16600
2015-04-06,9.8100,9.8100,9.8100,9.8100,0
2015-04-07,9.8100,9.8100,9.8100,9.8100,0
2015-04-08,9.8100,9.8100,9.8100,9.8100,0
2015-04-09,9.8100,9.8100,9.8100,9.8100,0
2015-04-10,9.9500,9.9500,9.8200,9.8200,200
2015-04-13,9.8200,9.8200,9.8200,9.8200,0
2015-04-14,9.8200,9.8200,9.8200,9.8200,0
2015-04-15,9.8200,9.8200,9.8200,9.8200,0
2015-04-16,9.8200,9.8200,9.8200,9.8200,0
2015-04-17,9.8200,9.8200,9.8200,9.8200,0
2015-04-20,9.8200,9.8200,9.8200,9.8200,0
2015-04-21,9.8500,9.8500,9.7000,9.8500,383674
2015-04-22,9.9000,9.9000,9.9000,9.9000,220000
2015-04-23,9.9000,9.9000,9.9000,9.9000,0
2015-04-24,9.9000,9.9000,9.9000,9.9000,0
2015-04-27,9.8000,9.8000,9.8000,9.8000,200
2015-04-28,9.8500,9.8500,9.8000,9.8000,750300
2015-04-29,9.8000,9.8000,9.8000,9.8000,0
2015-04-30,9.8000,9.8000,9.8000,9.8000,200
2015-05-01,9.8510,9.8510,9.8200,9.8200,405
2015-05-04,9.8400,9.8500,9.8300,9.8300,7500
2015-05-05,9.8300,9.8900,9.8100,9.8100,9002
2015-05-06,9.8300,9.8300,9.8300,9.8300,500
2015-05-07,9.8100,9.8100,9.8100,9.8100,300
2015-05-08,9.8100,9.8100,9.8100,9.8100,0
2015-05-11,9.8100,9.8100,9.8100,9.8100,0
2015-05-12,9.8100,9.8100,9.8100,9.8100,0
2015-05-13,9.8100,9.8100,9.8100,9.8100,0
2015-05-14,9.8100,9.8100,9.8100,9.8100,0
2015-05-15,9.8100,9.8100,9.8100,9.8100,0
2015-05-18,9.8100,9.8100,9.7600,9.7800,301600
2015-05-19,9.7800,9.7800,9.7800,9.7800,0
2015-05-20,9.7800,9.7800,9.7800,9.7800,0
2015-05-21,9.8100,9.8100,9.8100,9.8100,200
2015-05-22,9.8100,9.8100,9.8100,9.8100,0
2015-05-26,9.8100,9.8100,9.8100,9.8100,0
2015-05-27,9.8100,9.8100,9.8100,9.8100,0
2015-05-28,9.8100,9.8100,9.8100,9.8100,0
2015-05-29,9.8100,9.8100,9.8100,9.8100,0
2015-06-01,9.8100,9.8100,9.8100,9.8100,0
2015-06-02,9.8100,9.8100,9.8100,9.8100,0
2015-06-03,9.8100,9.8100,9.8100,9.8100,0
2015-06-04,9.8500,9.8800,9.8500,9.8700,1500
2015-06-05,9.8700,9.8700,9.8700,9.8700,0
2015-06-08,9.8700,9.8700,9.8700,9.8700,0
2015-06-09,9.8700,9.8700,9.8700,9.8700,0
2015-06-10,9.8700,9.8700,9.8700,9.8700,0
2015-06-11,9.8500,9.8500,9.8500,9.8500,100
2015-06-12,9.8400,9.8500,9.8300,9.8400,122925
2015-06-15,9.8400,9.8400,9.8400,9.8400,0
2015-06-16,9.8800,9.9500,9.8600,9.9000,502700
2015-06-17,9.9000,9.9000,9.9000,9.9000,0
