date,open,high,low,close,volume
2006-02-06,45.8100,45.8100,45.0200,45.0200,71000
2006-02-07,44.4700,44.7500,43.8700,43.8700,203500
2006-02-08,43.8000,44.6200,43.4500,44.6100,553500
2006-02-09,44.5100,44.8800,44.2800,44.2800,70700
2006-02-10,43.9500,44.1000,43.4400,43.8000,264100
2006-02-13,43.5800,43.7300,43.3200,43.5000,364700
2006-02-14,43.3000,44.3500,42.8900,44.2500,639200
2006-02-15,44.5000,45.0200,44.1700,44.6800,571100
2006-02-16,45.1500,45.2199,44.6000,45.2000,253200
2006-02-17,45.4000,45.4000,44.7900,44.8100,57000
2006-02-21,44.9400,45.2500,44.5900,45.0800,243800
2006-02-22,45.4000,46.0800,45.0400,45.9100,333600
2006-02-23,45.1800,45.9800,45.1800,45.6100,307200
2006-02-24,45.4500,45.4500,45.1300,45.3500,144500
2006-02-27,45.2300,45.6000,44.9000,45.2800,300400
2006-02-28,45.2100,45.2900,44.6600,44.7000,237200
2006-03-01,44.5200,44.8000,44.4500,44.8000,166400
2006-03-02,44.5400,45.1000,44.5100,44.8000,339300
2006-03-03,44.4600,44.4600,44.0700,44.0900,452400
2006-03-06,43.9500,43.9500,43.5300,43.6100,391200
2006-03-07,43.1600,43.1600,42.5400,42.8200,468800
2006-03-08,42.1700,42.7900,42.1500,42.7500,463500
2006-03-09,42.8200,42.8300,41.8900,41.9800,562000
2006-03-10,42.0500,42.7900,42.0400,42.5400,509800
2006-03-13,42.9700,43.2400,42.7300,42.8300,451800
2006-03-14,42.9500,44.6300,42.9200,44.5600,261700
2006-03-15,44.4400,44.7100,44.1000,44.2600,314700
2006-03-16,44.6500,45.6400,44.6500,45.2800,718000
2006-03-17,45.5600,46.3900,45.5600,46.1400,437800
2006-03-20,46.0500,46.0900,45.3000,45.3000,592900
2006-03-21,44.8000,45.1800,44.3700,44.4200,111600
2006-03-22,44.8000,44.8200,44.5000,44.5800,120100
2006-03-23,44.9500,46.0200,44.9500,45.7300,908900
2006-03-24,45.4000,46.0900,44.8500,45.9100,568400
2006-03-27,46.0700,46.2900,45.9100,45.9700,332200
2006-03-28,46.2100,46.3000,45.2600,45.5000,398300
2006-03-29,45.3500,45.8000,45.2874,45.5500,20400
2006-03-30,45.3700,45.4900,44.4336,44.8100,250900
2006-03-31,44.7600,44.7600,44.5000,44.7500,9200
2006-04-03,44.6000,44.6000,44.1300,44.1300,205200
2006-04-04,44.2500,44.6000,44.2000,44.6000,425400
2006-04-05,45.0200,46.5200,44.9300,46.4900,504800
2006-04-06,45.9200,46.1300,45.6600,46.0199,170200
2006-04-07,46.0600,46.3000,45.5000,45.7800,335200
2006-04-10,45.7500,45.8000,45.2700,45.2900,211600
2006-04-11,45.7000,45.7000,44.7500,44.8200,166700
2006-04-12,44.5000,44.6400,44.0800,44.1700,353300
2006-04-13,43.9200,44.0000,43.5500,43.7000,147300
2006-04-17,43.9000,44.0000,43.1900,43.5000,131400
2006-04-18,43.2308,45.2200,43.0600,45.0800,721700
2006-04-19,45.0700,45.0700,44.3000,44.6000,259500
2006-04-20,44.0500,44.6700,43.8100,44.5600,522900
2006-04-21,44.8000,44.8000,44.0600,44.2400,204600
2006-04-24,43.9200,43.9500,43.4300,43.7000,908400
2006-04-25,43.3400,43.4700,42.5900,42.6200,720100
2006-04-26,43.4800,44.2900,43.0100,43.4200,544400
2006-04-27,41.8400,42.7600,41.7700,42.5900,276500
2006-04-28,42.2800,42.8900,42.2800,42.3800,152600
2006-05-01,42.5100,42.5100,41.8400,41.8800,351200
2006-05-02,41.3100,41.5100,41.0000,41.4500,596400
2006-05-03,41.2500,41.9000,41.2500,41.5000,373400
2006-05-04,41.5500,41.6000,41.0300,41.1800,203600
2006-05-05,41.7600,42.6400,41.3900,42.3500,727600
2006-05-08,41.9600,42.3400,41.6500,41.7300,383800
2006-05-09,41.5200,41.7000,41.2600,41.2900,97800
2006-05-10,41.5200,41.8800,41.2700,41.6200,158600
2006-05-11,41.1400,41.3100,40.3500,40.3500,789900
2006-05-12,40.3000,40.3000,39.4900,39.9200,1182900
2006-05-15,39.7000,40.0700,38.9900,39.5800,452800
2006-05-16,39.7300,39.7300,38.6800,38.8400,264900
2006-05-17,38.5000,38.7600,37.8601,38.0300,364100
2006-05-18,38.6500,39.3000,38.1000,38.1900,657500
2006-05-19,38.1400,38.3619,37.7200,38.0900,211000
2006-05-22,37.5700,37.8900,36.8400,37.3800,379500
2006-05-23,38.1300,38.1500,37.0500,37.0500,833000
2006-05-24,37.1000,37.9700,36.7100,37.4900,146900
2006-05-25,37.4100,37.7397,37.3500,37.7000,159700
2006-05-26,38.0500,38.1400,37.9000,37.9800,259800
2006-05-30,37.5500,37.5500,36.8000,36.8100,436100
2006-05-31,36.8000,37.0100,36.5000,36.7000,612300
2006-06-01,36.8500,37.4900,36.4500,37.4400,512800
2006-06-02,37.6300,37.6700,36.5300,36.8100,340700
2006-06-05,36.3700,36.3700,35.2100,35.2100,635200
2006-06-06,33.9171,34.9500,33.6500,34.2500,1277000
2006-06-07,35.0000,35.0000,33.9300,34.0500,820400
