date,open,high,low,close,volume
1999-11-01,27.0600,27.1900,26.9400,27.0200,230400
1999-11-02,26.8100,27.0000,26.7200,26.7700,44000
1999-11-03,26.7700,26.7800,26.5000,26.6300,320200
1999-11-04,26.5900,26.7300,26.0800,26.2000,24100
1999-11-05,26.2800,26.3400,25.3800,25.5600,116000
1999-11-08,25.7800,26.5500,25.7800,26.5300,46700
1999-11-09,27.0000,27.1100,26.8600,27.0900,115300
1999-11-10,27.3400,27.7000,27.3400,27.6900,258700
1999-11-11,27.7200,27.7200,27.5200,27.6900,217600
1999-11-12,27.3100,28.0000,27.3100,27.8800,137100
1999-11-15,27.9800,28.0600,27.8800,28.0300,26700
1999-11-16,28.3100,28.5000,28.1600,28.5000,78100
1999-11-17,28.5900,29.1900,28.5900,29.0000,56900
1999-11-18,29.1300,29.1600,28.7700,29.0000,66500
1999-11-19,28.6600,28.7500,28.3400,28.3400,179400
1999-11-22,28.4800,28.5600,27.8900,27.8900,359900
1999-11-23,28.0000,28.0300,27.2500,27.3100,359300
1999-11-24,27.2800,27.6600,27.2200,27.6600,23500
1999-11-26,27.4400,27.5600,27.2500,27.2500,7400
1999-11-29,27.1100,27.1300,26.9500,27.0300,29500
1999-11-30,27.0200,27.2500,26.9200,26.9800,14300
1999-12-01,26.9400,27.5200,26.9400,27.5200,21700
1999-12-02,27.5000,27.5000,27.1300,27.2500,53800
1999-12-03,27.2500,27.5200,27.0900,27.1300,248500
1999-12-06,27.1900,27.3100,26.9400,27.1100,148600
1999-12-07,26.9400,27.0600,26.5900,26.5900,126000
1999-12-08,26.3400,26.8800,26.1600,26.8800,67900
1999-12-09,27.0300,27.1900,26.7800,27.0900,49100
1999-12-10,27.0000,27.0000,26.3100,26.3100,49000
1999-12-13,26.3100,26.7500,26.1900,26.4700,44900
1999-12-14,26.2800,26.6300,26.2200,26.4100,507300
1999-12-15,26.6600,27.2500,26.6600,26.9400,218100
1999-12-16,27.0300,27.3800,27.0200,27.2000,62100
1999-12-17,27.1900,27.2500,26.7500,27.0000,955900
1999-12-20,26.8800,27.0300,26.3800,26.4100,781300
1999-12-21,26.5600,26.8100,26.4700,26.4800,725800
1999-12-22,26.4100,26.5600,26.3100,26.3400,605300
1999-12-23,26.5300,27.0900,26.5300,27.0900,144400
1999-12-27,27.2500,28.0000,26.9100,26.9100,1251200
1999-12-28,26.7200,27.1900,26.7200,26.9400,56100
1999-12-29,27.0300,27.4100,26.9200,27.2200,47400
1999-12-30,27.0600,27.1300,26.8800,27.0000,58200
1999-12-31,27.0000,27.2500,26.8100,27.0900,34800
2000-01-03,27.3100,27.3100,26.3800,26.5600,380300
2000-01-04,26.3100,26.3100,25.8800,26.0600,722200
2000-01-05,26.1300,26.7500,26.0000,26.4400,337800
2000-01-06,26.7500,27.8400,26.7500,27.7800,133100
2000-01-07,27.6900,28.4100,27.6900,28.0800,468000
2000-01-10,28.0800,28.0800,27.6300,27.8400,122100
2000-01-11,27.8400,28.0600,27.5600,27.8800,144800
2000-01-12,27.8400,27.8400,27.5600,27.7500,57300
2000-01-13,27.9400,28.3100,27.7200,28.2300,149200
2000-01-14,28.0900,28.0900,27.6900,28.0600,35700
2000-01-18,27.8800,28.5600,27.8800,28.4100,110500
2000-01-19,28.3100,28.6300,28.2800,28.3100,190300
2000-01-20,28.4100,28.4100,27.9400,28.3100,344300
2000-01-21,28.9400,29.2300,28.7800,29.0900,483300
2000-01-24,29.2800,29.3800,28.0300,28.0600,296500
2000-01-25,28.1300,29.4700,27.8100,28.0000,57800
2000-01-26,27.8100,28.2800,27.5600,27.5600,46900
2000-01-27,27.6600,27.8800,26.6400,27.0000,1688800
2000-01-28,26.9400,26.9700,26.5000,26.6900,33100
2000-01-31,26.1900,27.3100,26.1300,27.3100,101600
2000-02-01,27.3100,27.3100,27.0000,27.2500,114200
2000-02-02,27.3100,27.6100,27.2500,27.4200,29400
2000-02-03,27.3800,27.3800,26.7200,27.0900,96800
2000-02-04,26.8400,27.0000,26.1600,26.3100,65600
2000-02-07,26.3100,26.7200,26.3100,26.6100,55300
2000-02-08,26.7500,27.0600,26.3800,26.3800,99400
2000-02-09,26.1300,26.1300,25.5000,25.5000,86200
2000-02-10,25.7500,26.4400,25.7200,26.0300,615000
2000-02-11,26.2800,26.4400,25.3100,25.7200,207800
2000-02-14,25.8800,26.2500,25.5900,26.1300,523000
2000-02-15,26.6300,27.2200,26.4400,27.2200,300700
2000-02-16,27.1600,27.5000,27.1600,27.3400,123900
2000-02-17,27.4100,27.4800,26.9400,27.3100,88000
2000-02-18,27.1900,27.1900,26.4500,26.5200,141700
2000-02-22,26.6300,26.6300,26.0000,26.2800,74600
2000-02-23,26.0600,26.0600,25.4100,25.5900,76200
2000-02-24,25.2500,25.4400,24.9400,25.3100,316000
2000-02-25,25.1600,25.5300,24.6900,24.8100,662800
2000-02-28,25.0600,25.8400,24.6300,25.5600,456100
2000-02-29,25.6300,26.3400,25.6300,26.1600,80300
2000-03-01,26.0200,26.9100,25.9400,26.8100,880600
2000-03-02,26.8900,27.4100,26.8800,27.3100,392700
