date,open,high,low,close,volume
1999-11-01,42.6300,42.9700,42.4100,42.4400,230800
1999-11-02,42.4400,42.9400,42.1400,42.2500,156300
1999-11-03,42.8800,43.1300,42.6300,42.8800,209200
1999-11-04,43.4400,43.4700,42.9100,43.2000,409100
1999-11-05,44.2500,44.2500,43.4700,43.6700,898000
1999-11-08,43.1900,44.3000,43.1900,44.1100,377100
1999-11-09,44.4800,44.5000,43.5000,43.6300,981500
1999-11-10,43.5000,44.7300,43.5000,44.3900,583900
1999-11-11,44.7200,45.2500,44.6700,45.0000,295500
1999-11-12,45.6100,45.6300,44.0300,45.2500,439300
1999-11-15,45.3400,45.3400,44.8600,45.0500,187300
1999-11-16,45.4100,46.0000,45.0300,46.0000,255600
1999-11-17,46.1900,46.3800,45.5000,45.5600,515600
1999-11-18,46.2500,47.1100,45.9100,47.1100,752800
1999-11-19,47.1600,47.6300,46.7500,47.5500,445300
1999-11-22,47.4400,48.0000,47.3800,47.8400,436200
1999-11-23,48.2300,48.2300,46.7800,47.4200,585000
1999-11-24,47.2800,48.3300,47.0200,48.1600,626700
1999-11-26,48.3900,49.0000,48.3900,48.5300,425900
1999-11-29,48.3800,48.8100,48.0800,48.1100,353200
1999-11-30,47.8800,48.1100,46.4700,46.6700,436200
1999-12-01,46.5000,47.4700,46.5000,47.1300,900500
1999-12-02,47.6300,48.5300,47.6300,48.2500,208600
1999-12-03,49.6300,50.1300,49.3400,49.6300,623100
1999-12-06,49.4700,50.3400,49.3100,49.9700,347400
1999-12-07,50.3100,50.3100,49.5300,50.0900,204500
1999-12-08,49.5600,50.1300,49.5000,49.5600,407900
1999-12-09,50.0600,50.2500,48.5900,49.4400,1187500
1999-12-10,49.8100,50.0000,48.8100,49.6900,226600
1999-12-13,49.6700,50.4400,49.3100,50.0200,377000
1999-12-14,50.1900,50.1900,48.8100,49.0600,716100
1999-12-15,48.9400,50.0600,48.1300,50.0600,1248400
1999-12-16,50.4400,51.1300,50.3100,51.0000,419400
1999-12-17,51.5600,51.8400,51.1900,51.5600,397700
1999-12-20,51.7500,52.2500,51.3800,52.0600,289200
1999-12-21,52.1900,53.2200,51.8100,53.0600,381800
1999-12-22,53.5000,53.6900,52.3600,53.0600,307700
1999-12-23,53.5600,54.0000,53.2800,53.3400,359200
1999-12-27,53.9400,53.9400,52.6300,53.7500,626000
1999-12-28,53.6300,53.9400,53.1300,53.2500,700400
1999-12-29,53.3800,54.2500,53.3800,54.1100,583500
1999-12-30,55.0000,55.0000,53.9400,54.0600,1689800
1999-12-31,54.1600,54.4400,53.8100,53.8800,755300
2000-01-03,55.6300,55.6300,55.1300,55.4400,938100
2000-01-04,54.0000,54.7500,52.3100,52.6300,545500
2000-01-05,51.7500,52.8800,50.1300,52.6600,1906000
2000-01-06,51.2500,52.0900,49.6300,50.1300,1670000
2000-01-07,49.6300,51.0000,49.1300,51.0000,686000
2000-01-10,53.0000,53.4400,52.0600,52.9400,1020500
2000-01-11,53.0000,53.4700,51.1900,51.4400,1411300
2000-01-12,52.3800,52.3800,50.6300,51.2200,1983200
2000-01-13,51.8800,52.0000,50.8800,51.6900,1193000
2000-01-14,53.2500,53.7200,52.7800,52.8800,1383900
2000-01-18,52.7500,53.7200,52.6100,53.1600,550800
2000-01-19,52.9400,53.4700,52.5600,53.2500,790400
2000-01-20,54.2500,54.4400,53.1300,53.5600,1095600
2000-01-21,53.8800,53.8800,53.1400,53.6300,1434700
2000-01-24,53.9400,54.3400,51.5900,51.8800,568900
2000-01-25,51.7700,53.0300,51.0600,52.9800,2982400
2000-01-26,52.6900,52.7500,50.9400,51.2500,839300
2000-01-27,51.8800,52.1300,49.7200,50.7500,1238100
2000-01-28,50.1300,51.1300,48.1300,48.9400,2457000
2000-01-31,48.9400,50.5600,47.8800,50.5600,1312300
2000-02-01,50.5200,51.7500,50.0300,51.6300,474900
2000-02-02,51.4400,52.6600,51.4400,52.0000,534700
2000-02-03,52.2500,53.5000,51.7700,53.5000,1244600
2000-02-04,53.7500,54.6200,53.6200,54.1200,691700
2000-02-07,54.2500,54.8800,53.8100,54.7500,655300
2000-02-08,55.1900,55.7500,55.0800,55.2500,886000
2000-02-09,55.7500,56.1300,54.2500,54.5600,1623300
2000-02-10,54.6900,55.8800,54.5000,55.8600,1157600
2000-02-11,55.8600,55.8800,53.8800,54.3800,1002100
2000-02-14,54.7500,54.7500,53.7500,54.4100,351500
2000-02-15,54.3300,54.9400,52.9700,54.5600,300600
2000-02-16,54.3800,55.0000,54.1900,54.2800,172100
2000-02-17,54.9800,55.6300,54.1900,55.5000,231200
2000-02-18,55.5600,55.5600,53.5000,53.6300,362700
2000-02-22,53.3800,54.0000,52.0000,53.5000,1233900
2000-02-23,53.6300,55.5000,53.4800,55.1300,183300
2000-02-24,55.4800,56.0600,54.5000,55.8100,319900
2000-02-25,55.8800,56.5000,54.8800,55.2800,937200
2000-02-28,54.7500,55.6300,53.2500,54.6300,1508300
2000-02-29,55.7500,56.0000,55.3800,55.8800,474100
2000-03-01,56.0000,57.2500,56.0000,56.4400,963500
2000-03-02,56.8800,57.3100,56.0900,57.0000,1097600
2000-03-03,58.0000,58.8100,57.3800,58.5800,401600
2000-03-06,58.5800,59.4100,58.0000,58.4800,667500
2000-03-07,59.1600,59.5000,56.8800,56.8800,1304800
2000-03-08,57.5600,58.1300,56.5000,57.8800,1089600
2000-03-09,57.9400,59.7500,57.3800,59.6300,285900
2000-03-10,60.0000,60.6600,59.5000,59.7500,265000
2000-03-13,58.5000,60.2500,58.0000,58.8800,2011200
2000-03-14,59.6300,60.1300,57.3100,57.5300,464200
2000-03-15,58.0000,58.1900,56.2500,56.5300,619300
2000-03-16,57.2500,58.5000,55.8800,58.5000,2726600
2000-03-17,58.7500,60.0000,58.6900,59.8800,441000
2000-03-20,60.1300,60.6300,59.1300,59.6300,395400
2000-03-21,59.4700,61.6300,58.6400,61.1900,649200
2000-03-22,61.5600,62.7500,61.2500,62.2500,668500
2000-03-23,62.3100,64.0000,62.1300,63.4400,484100
2000-03-24,64.0600,65.4400,63.0000,63.9800,1103100
2000-03-27,64.2500,64.9400,64.0600,64.5000,783100
2000-03-28,64.5000,64.5000,62.9400,62.9400,625600
2000-03-29,63.0000,63.0600,60.7800,61.0900,3331900
2000-03-30,60.6900,61.8400,57.7500,59.4400,4635800
2000-03-31,60.2500,61.1900,58.6300,60.5600,319600
2000-04-03,59.8100,59.8100,57.2500,58.0000,2645000
2000-04-04,57.7200,58.7500,52.3100,57.4400,2211500
2000-04-05,56.6300,59.1900,56.1300,57.8100,600200
2000-04-06,58.7500,59.4400,57.7500,58.5600,173000
2000-04-07,59.3100,60.6300,58.8800,60.5600,233000
