date,open,high,low,close,volume
1999-11-01,25.0600,25.1900,24.7800,24.8800,116900
1999-11-02,24.6400,25.0800,24.3900,24.3900,276500
1999-11-03,24.6600,25.0200,24.6600,25.0200,92300
1999-11-04,25.3100,25.3100,24.8000,24.9100,36700
1999-11-05,25.1600,25.2300,24.9100,25.0900,55900
1999-11-08,24.9100,25.0600,24.8100,25.0600,22300
1999-11-09,25.1700,25.1700,24.5200,24.6300,37900
1999-11-10,24.4200,24.7500,24.4200,24.6400,33400
1999-11-11,24.6400,24.8900,24.5500,24.6400,26600
1999-11-12,24.6400,24.8600,24.4400,24.8100,31500
1999-11-15,24.7000,24.8800,24.5900,24.7000,119600
1999-11-16,24.8100,25.1700,24.8100,25.1700,41100
1999-11-17,25.0000,25.2500,25.0000,25.0500,45300
1999-11-18,24.9800,25.2700,24.8600,25.1700,99900
1999-11-19,25.1100,25.1900,24.8300,25.0000,20800
1999-11-22,24.9500,25.3800,24.9400,25.2700,39600
1999-11-23,25.3100,25.4500,25.1100,25.2000,33000
1999-11-24,25.3800,25.5000,25.1600,25.5000,41400
1999-11-26,25.6400,25.6400,25.2500,25.2500,17200
1999-11-29,25.0600,25.3600,24.9700,25.2300,34200
1999-11-30,25.3000,25.3000,24.9100,24.9100,23500
1999-12-01,24.7300,24.9500,24.5900,24.8100,37500
1999-12-02,24.7200,24.9400,24.6300,24.9400,64600
1999-12-03,24.8000,25.3600,24.8000,25.1100,93100
1999-12-06,24.8800,24.9200,24.3100,24.3900,44700
1999-12-07,24.4700,24.4700,23.7500,24.0000,44600
1999-12-08,23.8300,23.9400,23.5000,23.6300,34600
1999-12-09,23.5600,23.8000,23.2800,23.5900,50700
1999-12-10,23.7800,23.7800,23.4700,23.7200,56700
1999-12-13,23.3400,23.5500,23.0300,23.2200,58800
1999-12-14,22.8800,23.3800,22.8600,23.1900,81200
1999-12-15,23.3400,23.6300,23.0800,23.5900,88600
1999-12-16,23.3600,23.3600,22.9100,23.0000,64100
1999-12-17,23.0000,23.2200,22.8800,23.0000,1213100
1999-12-20,22.7700,22.9500,22.5000,22.7000,905900
1999-12-21,22.7700,22.7700,22.3900,22.4800,1212300
1999-12-22,22.7000,23.0900,22.6300,22.9200,750600
1999-12-23,23.1300,23.4700,23.1300,23.3100,431000
1999-12-27,23.5300,23.7500,23.1700,23.4700,2693700
1999-12-28,23.4200,23.5600,23.1700,23.2800,75700
1999-12-29,23.2500,23.4200,22.9400,23.0000,62800
1999-12-30,23.0500,23.2500,22.9700,23.0200,63400
1999-12-31,23.0200,23.1900,22.8900,23.0300,35400
2000-01-03,23.1200,23.1200,22.4700,22.7500,634300
2000-01-04,22.3100,22.6600,22.0800,22.1100,172000
2000-01-05,22.2700,22.6100,22.0900,22.4400,343600
