date,open,high,low,close,volume
1999-11-01,28.3000,28.3000,28.1300,28.1900,22400
1999-11-02,28.2800,28.3300,27.8000,27.8300,19900
1999-11-03,28.0300,28.0300,27.7300,27.9500,7400
1999-11-04,28.1300,28.3800,28.1300,28.2700,8800
1999-11-05,28.6600,28.6600,28.1400,28.1400,23600
1999-11-08,28.0000,28.2500,28.0000,28.1900,16600
1999-11-09,28.3100,28.3300,27.9400,28.0000,10000
1999-11-10,27.6700,28.1900,27.6700,28.1700,21300
1999-11-11,28.4200,28.5900,28.3400,28.5000,8000
1999-11-12,28.8900,29.1300,28.5300,29.0600,33500
1999-11-15,29.0000,29.3400,29.0000,29.1900,15700
1999-11-16,29.2500,29.6100,29.2500,29.5600,17700
1999-11-17,29.5000,29.5000,29.2500,29.2700,3300
1999-11-18,29.2800,29.6600,29.2800,29.4500,8200
1999-11-19,29.4700,29.4700,29.2700,29.3100,8700
1999-11-22,29.0000,29.0900,28.8800,29.0000,15700
1999-11-23,28.9100,28.9100,28.4700,28.5200,7000
1999-11-24,28.4400,28.9200,28.4400,28.9200,21400
1999-11-26,28.8100,28.8100,28.6900,28.6900,9400
1999-11-29,28.5200,28.7200,28.5200,28.5200,31700
1999-11-30,28.5600,28.8100,28.4100,28.5000,7500
1999-12-01,28.4700,28.5900,28.3800,28.4400,40700
1999-12-02,28.5000,28.6900,28.5000,28.6900,20800
1999-12-03,28.9400,29.6600,28.9400,29.2500,24600
1999-12-06,29.3600,29.4400,29.2500,29.4200,40700
1999-12-07,29.4400,29.5600,29.3400,29.3400,11500
1999-12-08,29.4100,29.7300,29.4100,29.6300,38900
1999-12-09,29.8300,30.1300,29.8300,30.0800,12100
1999-12-10,30.2500,30.2500,29.7700,29.8900,18800
1999-12-13,29.6900,29.9500,29.6900,29.6900,10700
1999-12-14,29.5300,29.8300,29.5300,29.7500,16000
1999-12-15,29.5600,29.9100,29.4500,29.5000,8400
1999-12-16,29.6300,29.7300,29.3800,29.7300,9500
1999-12-17,29.9700,30.2500,29.8100,30.2500,485300
1999-12-20,30.1600,30.4100,29.9700,29.9700,301300
1999-12-21,29.8100,30.0600,29.7200,29.7800,558700
1999-12-22,29.8600,30.0000,29.7800,29.8100,153500
1999-12-23,30.0000,30.5300,30.0000,30.4400,445400
1999-12-27,30.7500,30.7500,30.4400,30.4400,500800
1999-12-28,30.4100,30.6700,30.4100,30.5000,112800
1999-12-29,30.3100,30.4800,30.3100,30.4800,27900
1999-12-30,30.4100,30.7500,30.4100,30.5900,7300
1999-12-31,30.5900,30.8900,30.5900,30.8900,7200
2000-01-03,31.0000,31.0000,30.0600,30.3000,246700
2000-01-04,30.1900,30.2000,29.5300,29.6100,35300
2000-01-05,29.7800,29.7800,29.2200,29.5300,137600
