date,open,high,low,close,volume
2006-06-22,44.4700,45.3200,44.4700,45.0700,14000
2006-06-23,46.1900,46.2500,45.9700,45.9900,17700
2006-06-26,46.4800,46.4800,46.0500,46.3100,4700
2006-06-27,46.5100,47.0600,45.9700,45.9700,11900
2006-06-28,46.0900,46.3400,45.8100,46.3400,20900
2006-06-29,46.1800,49.2900,46.1800,49.2900,125100
2006-06-30,49.7000,49.8500,49.0000,49.4800,42500
2006-07-03,50.3700,50.8500,50.3700,50.8300,9700
2006-07-05,50.0800,50.3400,49.3400,50.0000,16100
2006-07-06,50.2000,50.7900,49.9700,50.0500,18200
2006-07-07,49.8500,50.1800,49.2000,49.3600,23100
2006-07-10,49.3400,49.3700,48.7400,49.0800,11000
2006-07-11,49.0400,49.0600,48.3400,49.0600,82600
2006-07-12,49.6000,49.9200,48.7600,48.7600,23700
2006-07-13,47.8300,47.9000,46.5800,46.6300,67700
2006-07-14,46.7400,46.7400,45.6000,46.0300,94100
2006-07-17,46.2900,46.2900,45.0000,45.1900,111000
2006-07-18,45.9000,45.9200,44.5200,45.1600,84800
2006-07-19,45.6700,47.4900,45.6700,47.2000,6700
2006-07-20,47.0900,47.0900,44.7600,44.7600,143900
2006-07-21,44.7000,44.7000,42.9400,42.9900,12600
2006-07-24,43.3200,43.8700,42.6800,43.5800,15800
2006-07-25,44.2600,45.3400,44.0199,45.3400,20900
2006-07-26,43.9800,44.8100,43.5500,44.8100,28100
2006-07-27,45.3500,45.3900,44.0000,44.0800,8700
2006-07-28,44.0800,44.0800,44.0800,44.0800,0
2006-07-31,44.9500,46.2500,44.9000,45.9100,11300
2006-08-01,44.9100,45.3600,44.9100,45.3600,19800
2006-08-02,45.9600,47.0400,45.9600,46.3800,14200
2006-08-03,46.2300,46.4800,46.0100,46.4800,7100
2006-08-04,47.0000,47.1500,45.2500,45.3000,53900
2006-08-07,45.8000,46.1700,45.6100,45.9200,5500
2006-08-08,45.9000,45.9000,44.7300,44.8700,5900
2006-08-09,44.3500,45.6400,44.3500,44.8400,56000
2006-08-10,44.3700,44.6001,44.0700,44.4300,8600
2006-08-11,44.3700,44.4400,43.5301,43.5400,3600
2006-08-14,43.3000,43.5800,42.8200,42.8200,44000
2006-08-15,43.3000,44.1400,43.1800,43.9800,5400
2006-08-16,44.7800,45.4500,44.7800,45.3800,3500
2006-08-17,45.3000,45.3899,44.4600,44.6600,12200
2006-08-18,45.1700,45.1700,44.5201,45.1000,1700
2006-08-21,45.1000,45.6300,45.0600,45.2800,5300
2006-08-22,45.2500,45.2500,44.9400,45.0100,7900
2006-08-23,45.2300,45.2300,44.2300,44.3100,4700
2006-08-24,44.4600,44.4600,43.7400,44.0700,7500
2006-08-25,44.6300,44.7500,44.3000,44.4600,14300
2006-08-28,44.0800,44.0800,43.8200,43.8200,3000
2006-08-29,44.2100,44.2300,43.3100,44.2300,13900
2006-08-30,44.3500,44.3500,43.7400,43.8900,5400
2006-08-31,44.1700,44.3100,44.1200,44.3100,1200
2006-09-01,44.3300,45.2000,44.2000,45.0800,6000
2006-09-05,45.3100,46.2800,45.3100,46.2200,9900
2006-09-06,46.0400,46.0400,44.8900,44.9000,7500
2006-09-07,44.2100,44.2100,43.7700,44.0300,4500
2006-09-08,43.7300,43.7416,43.3200,43.3900,5100
2006-09-11,41.7400,41.8300,40.7500,40.8000,17600
2006-09-12,41.0300,41.7700,40.8600,41.1600,13500
2006-09-13,41.4300,42.3600,41.4300,42.3600,8400
2006-09-14,42.4200,42.4500,41.1000,41.2000,16000
2006-09-15,41.2300,41.6300,41.1400,41.5096,3900
2006-09-18,41.8399,42.4800,41.8100,42.1900,3500
2006-09-19,42.0300,42.0300,41.0000,41.4300,14400
2006-09-20,41.3900,41.8500,40.7700,40.9300,10200
2006-09-21,41.5200,41.7800,41.0400,41.0400,2000
2006-09-22,40.7700,40.7700,40.0700,40.1900,3500
2006-09-25,39.5100,39.7700,38.4800,39.7200,12400
2006-09-26,40.0100,41.4000,40.0100,41.4000,12800
2006-09-27,41.5000,41.5900,40.9300,41.2500,11600
2006-09-28,41.6200,41.6500,41.2000,41.3500,4600
2006-09-29,41.5300,41.6700,41.3800,41.3800,1200
2006-10-02,41.6000,41.7700,41.3300,41.3300,6000
2006-10-03,40.5500,40.5500,39.6700,39.6700,10600
2006-10-04,39.9000,39.9845,38.9100,39.9600,4500
2006-10-05,41.1000,42.0900,40.9000,42.0500,98800
2006-10-06,41.5800,42.2200,41.4134,42.0700,10900
