date,open,high,low,close,volume
2014-06-24,14.2100,15.5500,14.2000,14.9000,10653232
2014-06-25,15.1300,16.1800,15.0000,15.2600,3570084
2014-06-26,15.1500,15.8700,14.9100,15.1400,1204459
2014-06-27,15.2500,15.4500,14.9000,15.0900,744448
2014-06-30,15.2000,15.3000,14.9000,14.9700,695691
2014-07-01,14.9500,15.0800,14.4900,14.5800,958036
2014-07-02,14.8500,15.1000,14.5000,14.6900,732364
2014-07-03,14.7400,14.8600,14.5100,14.5500,245623
2014-07-07,14.5000,14.7900,14.2126,14.3300,494502
2014-07-08,14.3500,14.4500,13.5200,13.7900,952138
2014-07-09,13.5300,13.7500,13.2400,13.5000,462320
2014-07-10,13.4000,14.5400,12.8000,14.2500,515887
2014-07-11,14.2700,14.2800,13.8000,13.8200,286570
2014-07-14,13.7000,14.0200,13.7000,13.7700,372057
2014-07-15,13.8000,13.9800,13.6000,13.6500,167794
2014-07-16,13.7200,13.7200,13.1800,13.2200,324624
2014-07-17,13.2200,13.4000,13.0000,13.0200,313420
2014-07-18,13.0500,13.0600,12.5000,12.9500,449971
2014-07-21,12.6300,12.7300,12.0400,12.2800,450967
2014-07-22,12.2500,12.7200,12.1100,12.2500,420795
2014-07-23,12.2500,12.7200,12.2500,12.5900,325374
2014-07-24,12.1600,12.8500,12.1600,12.7000,233362
2014-07-25,12.7500,12.8500,12.5300,12.7500,162486
2014-07-28,12.8400,12.8400,12.3600,12.5000,313356
2014-07-29,12.4100,12.8000,12.4100,12.5800,696238
2014-07-30,12.5800,12.7199,12.4100,12.4200,64156
2014-07-31,12.4000,12.4500,12.0000,12.0100,283049
2014-08-01,12.0300,12.7000,12.0000,12.6900,180318
2014-08-04,12.7700,13.1700,12.5000,13.0300,308339
2014-08-05,12.7400,13.1000,12.6001,12.8100,148965
2014-08-06,12.7000,12.8670,12.6001,12.7700,143402
2014-08-07,12.6800,13.5000,12.6600,13.3000,363862
2014-08-08,13.1400,13.6499,13.1000,13.2300,257756
2014-08-11,13.3800,13.4010,12.8800,12.9500,205053
2014-08-12,13.0200,13.0500,12.8100,12.9000,80501
2014-08-13,12.8800,13.0500,12.5700,12.6200,110407
2014-08-14,12.6200,12.7894,12.2500,12.2600,161177
2014-08-15,12.3900,12.4700,12.1000,12.1100,230180
2014-08-18,12.3633,12.3999,12.0100,12.0300,221319
2014-08-19,12.0800,12.2340,11.1301,11.3600,580965
2014-08-20,11.2000,11.2600,9.9600,10.3900,1891453
2014-08-21,10.5000,11.9500,10.4200,11.8300,1860457
2014-08-22,11.8100,12.0000,11.3200,11.8700,659712
2014-08-25,11.9400,11.9400,11.3399,11.3900,485411
2014-08-26,11.3000,11.4050,10.8820,11.0600,432442
2014-08-27,11.0000,11.1300,10.7000,10.8700,436491
2014-08-28,10.8000,11.4700,10.7690,11.2000,450903
2014-08-29,11.1900,11.3299,11.1100,11.2300,126055
2014-09-02,11.0600,11.4800,11.0000,11.4800,255537
2014-09-03,11.5000,11.6800,11.1100,11.4800,204413
2014-09-04,11.4400,12.6900,11.3800,12.0800,1007980
2014-09-05,12.1000,13.3300,12.1000,13.3300,1415828
2014-09-08,13.0800,14.3100,12.8800,13.8500,772949
2014-09-09,13.8400,14.2000,13.1100,13.8800,910839
2014-09-10,13.8500,13.8500,13.1600,13.3500,325187
2014-09-11,13.3500,13.3500,13.0300,13.1500,505683
2014-09-12,13.3700,13.3999,12.6500,12.8000,473167
2014-09-15,12.9000,13.1000,12.1000,12.2500,511365
2014-09-16,12.2000,12.2500,11.6200,12.0600,441241
2014-09-17,12.0000,12.4100,11.8000,11.8000,470664
2014-09-18,11.9000,12.0499,11.1500,11.5000,636626
2014-09-19,11.4500,11.7700,11.2500,11.5100,290619
2014-09-22,11.5000,11.5000,10.8000,11.1400,247761
2014-09-23,11.1200,11.3000,11.0100,11.1600,106754
2014-09-24,11.1300,11.4600,11.0000,11.3000,268561
2014-09-25,11.3000,11.4300,10.7299,10.9200,364030
2014-09-26,11.0000,11.1600,10.5000,10.5000,267020
2014-09-29,10.5000,11.0800,10.4000,11.0100,177805
2014-09-30,11.1000,11.1200,10.7100,10.7500,145338
2014-10-01,10.7500,10.7804,10.5100,10.6800,176517
2014-10-02,10.8200,11.0670,10.5200,10.9200,137904
2014-10-03,10.9900,11.4300,10.9000,11.2400,196387
2014-10-06,11.4300,11.5699,10.8000,11.1700,180232
2014-10-07,11.0000,11.0000,10.6500,10.7400,94119
2014-10-08,10.6900,10.8700,10.4000,10.7400,134362
2014-10-09,10.7100,10.8199,10.5101,10.5544,71549
2014-10-10,10.5100,10.5300,10.0500,10.1600,171414
2014-10-13,10.1100,10.2100,9.8300,9.8900,195903
2014-10-14,9.9200,10.2695,9.9200,10.0100,77362
2014-10-15,10.1900,10.2000,9.8800,10.1550,99278
2014-10-16,9.9000,10.3000,9.8900,10.2800,66372
2014-10-17,10.3000,10.3600,10.0255,10.0500,156225
2014-10-20,10.0200,10.1600,9.9500,9.9800,131584
2014-10-21,10.1100,10.5900,10.0001,10.5600,135995
2014-10-22,10.5000,10.5499,10.2200,10.4400,154220
2014-10-23,10.4200,10.4999,9.9800,9.9800,301443
2014-10-24,10.0000,10.1973,9.5201,9.7700,167971
2014-10-27,9.7700,9.7700,8.7740,9.0100,286042
2014-10-28,9.0000,9.3700,9.0000,9.3400,114574
2014-10-29,9.3800,9.3800,9.0100,9.0300,103993
2014-10-30,9.0800,9.0900,8.8000,8.8400,141770
2014-10-31,8.9000,9.2900,8.8000,9.0000,164906
2014-11-03,9.1500,9.3000,9.0200,9.2200,136666
2014-11-04,9.1500,10.0000,9.1500,9.8200,216364
2014-11-05,9.8100,10.1300,9.4700,9.6200,174478
2014-11-06,9.5700,9.6350,9.4200,9.5300,47724
2014-11-07,9.8200,9.8200,9.4800,9.6500,126783
2014-11-10,9.7999,9.9800,9.6601,9.8700,124613
