date,open,high,low,close,volume
2006-06-22,37.0600,37.1400,36.9200,37.1200,5100
2006-06-23,37.2900,37.2900,37.2900,37.2900,25000
2006-06-26,37.2900,37.2900,37.2900,37.2900,0
2006-06-27,36.7000,36.7800,36.5800,36.5900,71000
2006-06-28,36.7000,36.7000,36.3600,36.5800,41500
2006-06-29,36.9200,37.5100,36.6800,37.5100,139000
2006-06-30,37.7100,37.7100,37.5500,37.6200,379100
2006-07-03,37.6200,37.6200,37.6200,37.6200,0
2006-07-05,37.3100,37.3100,36.8400,37.1400,117000
2006-07-06,37.1800,37.3500,37.1100,37.3500,85200
2006-07-07,37.0600,37.3000,36.9800,37.0600,127000
2006-07-10,37.3100,37.5600,37.1700,37.3000,348600
2006-07-11,37.0000,37.3100,36.7600,37.3000,96500
2006-07-12,37.1600,37.1600,36.4000,36.4300,125000
2006-07-13,36.0700,36.2200,35.7900,35.9000,281100
2006-07-14,35.7500,35.7500,35.2100,35.3900,132400
2006-07-17,35.4600,35.7600,35.4000,35.5200,56300
2006-07-18,35.4800,35.4800,34.5800,35.0100,199600
2006-07-19,35.2800,35.9500,35.2800,35.8500,147400
2006-07-20,35.9800,35.9900,35.4000,35.4000,254600
2006-07-21,35.1300,35.1500,34.8500,34.9500,165300
2006-07-24,35.4100,35.7800,35.3500,35.7300,130900
2006-07-25,36.0100,36.1900,35.6100,36.0700,634100
2006-07-26,35.6800,35.6900,35.3500,35.3500,239900
2006-07-27,35.3100,35.4500,34.8700,34.8800,36300
2006-07-28,35.0100,35.3800,34.9900,35.2900,464300
2006-07-31,35.5600,35.8100,35.4300,35.6200,803300
2006-08-01,35.1700,35.1900,34.7200,34.9100,157800
2006-08-02,35.1100,35.2100,34.8800,35.0400,692600
2006-08-03,34.8300,36.0600,34.8300,35.8400,960200
2006-08-04,36.3700,36.5200,35.6700,35.8900,478200
2006-08-07,35.5700,35.8500,35.5100,35.7600,465500
2006-08-08,35.6400,35.7900,35.1900,35.1900,344600
2006-08-09,35.6000,35.6100,34.8200,34.8200,842400
2006-08-10,34.8900,35.6600,34.8600,35.6200,641600
2006-08-11,35.6200,35.6400,35.4100,35.4100,146000
2006-08-14,35.7800,36.0000,35.6400,35.6800,96400
2006-08-15,36.0400,36.4100,35.9900,36.4100,281000
2006-08-16,36.6100,37.2400,36.4500,37.1100,562400
2006-08-17,37.1400,37.6600,37.1200,37.3200,422100
2006-08-18,37.5000,37.5000,37.0400,37.3400,427500
2006-08-21,36.7900,36.8400,36.6900,36.8000,211500
2006-08-22,36.7700,36.7700,36.5200,36.7200,203100
2006-08-23,36.4500,36.5200,36.0000,36.1200,522700
2006-08-24,35.7500,35.7500,35.4900,35.6200,321200
2006-08-25,35.5300,35.5700,35.3200,35.5100,745900
2006-08-28,35.8500,36.1400,35.8500,35.8600,311600
2006-08-29,36.1000,36.1800,35.7800,36.1600,510000
2006-08-30,36.1600,36.2900,36.0700,36.2800,263900
2006-08-31,36.4500,36.4700,36.3000,36.3400,500500
2006-09-01,36.4200,36.6000,36.2200,36.5300,215400
2006-09-05,36.5800,36.8200,36.5800,36.8100,266100
2006-09-06,36.6200,36.6500,36.3300,36.3400,559400
2006-09-07,36.3700,36.6800,36.1000,36.4100,495700
2006-09-08,36.4300,37.0000,36.4100,37.0000,927200
2006-09-11,36.8100,37.5199,36.7000,37.3900,136600
2006-09-12,37.5400,38.4500,37.5300,38.3700,391400
2006-09-13,38.3400,38.6100,38.2400,38.5200,775400
2006-09-14,38.5400,38.6200,38.2400,38.5300,550500
2006-09-15,38.9300,38.9300,38.4500,38.6200,370800
2006-09-18,38.5600,38.8700,38.4100,38.7000,405200
2006-09-19,38.9200,38.9700,38.4200,38.9700,829900
2006-09-20,39.3900,39.7400,39.3700,39.6000,229100
2006-09-21,39.8500,39.8500,38.9800,39.1300,233900
2006-09-22,38.8500,39.0800,38.6100,39.0600,720800
2006-09-25,39.2600,39.7300,39.0100,39.7300,502700
2006-09-26,39.7300,39.8700,39.4900,39.7900,184200
2006-09-27,39.8400,39.9900,39.4900,39.6400,259100
2006-09-28,39.8000,39.8300,39.3000,39.8300,412300
2006-09-29,39.8800,39.8800,39.2500,39.2900,491500
2006-10-02,39.2900,39.7600,39.1700,39.3993,98500
2006-10-03,39.2100,40.0300,39.1800,39.9600,329000
2006-10-04,39.8200,40.7100,39.7000,40.6900,497000
2006-10-05,40.4300,40.6700,40.1500,40.6500,1060300
2006-10-06,40.2500,40.3700,40.0200,40.2200,413900
2006-10-09,40.0300,40.6200,39.9800,40.4900,149600
2006-10-10,40.5100,40.6900,40.3900,40.4500,799700
2006-10-11,40.4600,40.5999,40.3400,40.4205,44700
2006-10-12,40.6000,41.3400,40.6000,41.3300,120700
2006-10-13,41.2700,41.4200,41.2300,41.3800,65700
2006-10-16,41.3500,41.5300,41.2300,41.4600,133000
2006-10-17,41.4200,41.4200,40.6701,41.0500,135100
2006-10-18,41.5800,41.5800,40.9200,41.0600,362500
2006-10-19,41.1000,41.2700,40.7900,40.8700,134700
2006-10-20,41.0600,41.0600,40.7000,40.8700,88500
2006-10-23,40.9200,41.7200,40.8300,41.6000,407100
2006-10-24,41.6500,41.7000,41.2400,41.5000,316500
2006-10-25,41.6000,41.6600,40.9700,41.1600,250300
2006-10-26,41.3700,41.8900,41.1000,41.8900,44900
2006-10-27,41.5300,41.7700,41.2900,41.2900,319800
2006-10-30,41.0200,41.7800,41.0200,41.7100,259800
2006-10-31,41.9000,41.9000,41.2000,41.3900,217100
2006-11-01,41.3500,41.3500,40.4600,40.4700,271500
2006-11-02,39.8100,40.4600,39.8000,40.2100,753000
2006-11-03,40.4400,40.4400,39.4700,39.8500,153900
2006-11-06,39.9600,40.4400,39.9600,40.3000,99200
2006-11-07,40.5000,40.9100,40.5000,40.6100,57700
2006-11-08,40.3900,40.9700,40.3900,40.8600,147100
2006-11-09,41.0400,41.0400,40.4800,40.5800,328700
2006-11-10,40.7900,41.3000,40.7200,41.2900,286600
2006-11-13,41.3300,41.6800,41.0300,41.0300,88700
2006-11-14,41.4500,41.8800,41.1400,41.8800,153400
2006-11-15,41.9000,42.1400,41.6900,41.7000,299100
2006-11-16,41.5800,41.7500,41.3500,41.6800,1367900
2006-11-17,41.7000,41.7000,41.1200,41.2900,383100
2006-11-20,41.3100,41.4000,41.0100,41.1000,123900
2006-11-21,41.1000,41.3500,41.1000,41.3100,18700
2006-11-22,41.3500,41.5900,41.3500,41.5900,107300
2006-11-24,41.3300,41.4701,41.2200,41.4300,5600
2006-11-27,41.3200,41.4300,40.6300,40.6300,273200
2006-11-28,40.4500,40.6100,40.3400,40.4800,137100
2006-11-29,41.0000,41.2600,40.8900,41.1900,448800
2006-11-30,40.6500,40.9400,40.4700,40.7800,505100
2006-12-01,41.0500,41.0500,40.1000,40.5300,1589200
2006-12-04,40.7800,41.5100,40.7800,41.4600,356400
2006-12-05,41.4700,41.8000,41.3800,41.5800,493100
2006-12-06,41.5500,41.6800,41.4100,41.4200,505900
2006-12-07,41.7100,41.7800,41.4000,41.4000,160400
2006-12-08,41.3300,41.4800,41.2400,41.2900,128500
2006-12-11,41.2600,41.4600,41.2600,41.4100,281700
2006-12-12,41.2700,41.4600,40.8600,41.0300,634200
2006-12-13,41.3490,41.4000,41.0400,41.1900,177600
2006-12-14,41.4500,41.8599,41.4500,41.7100,125400
2006-12-15,42.0000,42.0400,41.5500,41.5800,356100
2006-12-18,41.6500,41.6600,40.9300,40.9300,86800
2006-12-19,40.4600,40.8600,40.3300,40.7100,267100
2006-12-20,40.7300,41.2400,40.7300,40.9800,387400
2006-12-21,41.1100,41.1300,40.6500,40.6900,93000
2006-12-22,40.7300,40.9400,40.6400,40.7000,469100
2006-12-26,40.6500,40.7200,40.4400,40.5900,721400
2006-12-27,40.7600,41.0800,40.7000,41.0500,295500
2006-12-28,41.0400,41.0600,40.8000,40.8900,456600
2006-12-29,40.8700,41.0800,40.6100,40.6100,333700
2007-01-03,41.2700,41.5300,40.6000,40.7200,1254400
2007-01-04,40.8700,41.4600,40.8200,41.4300,1626000
2007-01-05,41.2600,41.3500,40.7500,40.8600,334800
2007-01-08,40.6300,41.1100,40.6300,40.9200,1335900
2007-01-09,41.0800,41.3900,40.9300,41.3400,506400
2007-01-10,41.1300,41.5200,41.1300,41.4600,594000
2007-01-11,41.5400,42.2700,41.5400,42.2100,248000
2007-01-12,42.3400,42.5500,42.0900,42.4600,245600
2007-01-16,42.7000,42.7572,42.2900,42.4200,512800
2007-01-17,42.2700,42.4500,42.1600,42.2000,612300
2007-01-18,42.2000,42.3800,42.0400,42.2000,537000
2007-01-19,42.1000,42.1000,41.7300,41.9900,606200
2007-01-22,41.7800,41.7800,41.3500,41.6400,1273900
2007-01-23,41.5800,41.8400,41.4600,41.6300,488200
2007-01-24,41.9100,42.1100,41.8400,42.0200,57200
2007-01-25,41.8100,41.8100,41.2500,41.3700,369600
2007-01-26,41.2900,41.4400,41.0900,41.3900,558400
2007-01-29,41.3600,41.6900,41.3600,41.6000,279300
2007-01-30,41.6599,41.6900,41.4300,41.5500,904300
2007-01-31,41.4800,42.1000,41.4000,41.9600,672400
2007-02-01,42.3000,42.9400,42.3000,42.5400,325300
2007-02-02,42.7700,42.7700,42.5500,42.6100,692300
2007-02-05,42.7000,42.7000,42.4200,42.5000,109400
2007-02-06,42.5900,42.8300,42.4700,42.8200,470100
2007-02-07,42.7000,43.1800,42.7000,42.9600,477700
2007-02-08,42.9500,43.2300,42.9100,43.0000,719900
2007-02-09,43.0800,43.0800,42.4900,42.7300,399700
2007-02-12,42.7500,42.7500,42.1900,42.6200,898600
2007-02-13,42.7200,42.9900,42.7100,42.8200,195500
2007-02-14,42.8700,43.3000,42.8700,43.2000,447500
2007-02-15,43.1400,43.5000,43.0900,43.4100,154400
2007-02-16,43.3100,43.5500,43.2400,43.4900,410700
2007-02-20,43.4600,44.1800,43.3000,43.9000,518900
2007-02-21,44.0000,44.0200,43.7800,43.8400,622900
2007-02-22,43.7900,43.9400,43.4000,43.6600,311800
2007-02-23,43.5300,43.5300,43.1800,43.4400,844200
2007-02-26,43.4900,43.4900,43.0200,43.1900,264300
2007-02-27,42.4300,42.6100,41.2900,41.4100,766800
2007-02-28,41.3500,42.1400,41.3400,42.1100,379800
2007-03-01,40.6900,41.8900,40.6000,41.6000,1077300
2007-03-02,41.4300,41.7000,41.0500,41.0800,1101800
2007-03-05,40.5700,40.9200,40.1600,40.1900,496000
2007-03-06,40.7300,41.0200,40.3200,40.8000,813500
2007-03-07,40.8000,41.1100,40.7000,40.9200,871300
2007-03-08,41.7100,42.4100,41.4000,41.6300,505200
2007-03-09,41.9200,41.9200,41.1200,41.5900,188600
2007-03-12,41.9700,42.2000,41.8600,42.1100,662800
2007-03-13,41.8000,41.9900,41.2100,41.2100,625200
2007-03-14,41.3200,41.3500,40.4200,41.2000,1858400
2007-03-15,41.3800,41.6600,41.3500,41.5600,650000
2007-03-16,41.4100,41.7200,41.3400,41.4700,521100
2007-03-19,41.9400,42.7400,41.8000,41.9400,415400
2007-03-20,41.9200,42.2800,41.8300,42.2800,305700
2007-03-21,42.2200,42.9100,42.2000,42.7500,241200
2007-03-22,42.8000,42.9000,42.5800,42.8400,204800
2007-03-23,42.8500,43.4400,42.8500,43.4000,331600
2007-03-26,43.2000,43.4400,43.0000,43.4300,240800
2007-03-27,43.3400,43.3400,43.1000,43.2300,295800
2007-03-28,42.9300,43.0000,42.6100,42.9100,437500
2007-03-29,43.1300,43.1300,42.5000,42.8000,1584400
2007-03-30,42.8300,43.2600,42.7000,43.0600,498700
2007-04-02,43.2699,43.4000,43.0900,43.4000,671300
2007-04-03,43.4700,44.0200,43.4700,43.7800,311900
2007-04-04,43.8000,43.8000,43.5700,43.6200,328600
2007-04-05,43.7500,43.8800,43.6900,43.7900,333500
2007-04-09,43.8800,44.0800,43.6800,44.0000,333200
2007-04-10,44.0500,44.1800,43.9000,43.9600,695500
2007-04-11,44.0500,44.1000,43.7200,43.8700,1023400
2007-04-12,43.5500,44.2100,43.2600,43.9300,1444000
2007-04-13,43.7500,43.7900,43.6400,43.6400,1048200
2007-04-16,44.0000,44.1400,43.8100,44.0200,457100
2007-04-17,44.0600,44.1800,43.8500,44.0200,363200
2007-04-18,43.7700,43.9200,43.6200,43.8000,74200
2007-04-19,43.6600,43.8300,43.6000,43.6500,184400
2007-04-20,44.2300,44.3600,43.9730,44.3600,287400
2007-04-23,44.4500,44.4900,44.1000,44.2300,487300
