date,open,high,low,close,volume
2011-01-26,1.3000,1.3000,1.1000,1.3000,7000
2011-01-27,1.3000,1.3000,1.2500,1.2500,10000
2011-01-28,1.2000,1.3000,1.2000,1.3000,6200
2011-01-31,1.3000,1.3000,1.2500,1.2500,4500
2011-02-01,1.2800,1.3000,1.2800,1.3000,8000
2011-02-02,1.3000,1.3000,1.2800,1.2800,5400
2011-02-03,1.2900,1.3200,1.2900,1.3200,7000
2011-02-04,1.3200,1.3200,1.2800,1.2800,2700
2011-02-07,1.2800,1.2800,1.2800,1.2800,0
2011-02-08,1.3200,1.3200,1.3200,1.3200,500
2011-02-09,1.3200,1.3200,1.3200,1.3200,700
2011-02-10,1.3200,1.3200,1.3200,1.3200,3500
2011-02-11,1.3200,1.3200,1.3200,1.3200,1300
2011-02-14,1.3200,1.3400,1.3200,1.3400,11500
2011-02-15,1.3400,1.3400,1.3400,1.3400,4600
2011-02-16,1.3400,1.3400,1.3400,1.3400,0
2011-02-17,1.3400,1.3400,1.3400,1.3400,0
2011-02-18,1.3400,1.3400,1.3400,1.3400,5000
2011-02-22,1.3500,1.3600,1.3500,1.3600,13500
2011-02-23,1.3600,1.3600,1.3600,1.3600,0
2011-02-24,1.3500,1.3600,1.3500,1.3600,9200
2011-02-25,1.3600,1.3800,1.3600,1.3800,18500
2011-02-28,1.3800,1.4000,1.3800,1.4000,23500
2011-03-01,1.4000,1.4000,1.4000,1.4000,20800
2011-03-02,1.4000,1.4000,1.4000,1.4000,9500
2011-03-03,1.4000,1.4000,1.4000,1.4000,0
2011-03-04,1.4000,1.4100,1.4000,1.4100,18600
2011-03-07,1.4100,1.4100,1.4100,1.4100,5700
2011-03-08,1.4100,1.4100,1.4100,1.4100,0
2011-03-09,1.4100,1.4100,1.4100,1.4100,0
2011-03-10,1.4100,1.4100,1.4100,1.4100,2000
2011-03-11,1.4000,1.4000,1.4000,1.4000,3000
2011-03-14,1.4000,1.4000,1.4000,1.4000,0
2011-03-15,1.3900,1.3900,1.3900,1.3900,700
2011-03-16,1.3900,1.3900,1.3900,1.3900,0
2011-03-17,1.3900,1.3900,1.3900,1.3900,0
2011-03-18,1.3900,1.3900,1.3900,1.3900,0
2011-03-21,1.3900,1.3900,1.3900,1.3900,0
2011-03-22,1.3000,1.3000,1.2500,1.2500,5100
2011-03-23,1.2500,1.2500,1.2500,1.2500,3500
2011-03-24,1.1200,1.1200,1.0100,1.1200,3500
2011-03-25,1.2000,1.2000,1.2000,1.2000,2000
2011-03-28,1.2000,1.2000,1.2000,1.2000,0
2011-03-29,1.2000,1.2000,1.2000,1.2000,0
2011-03-30,1.2000,1.2000,1.2000,1.2000,0
2011-03-31,1.2000,1.2000,1.2000,1.2000,0
2011-04-01,1.2000,1.2000,1.2000,1.2000,2000
2011-04-04,1.2000,1.2000,1.2000,1.2000,6500
2011-04-05,1.2000,1.2000,1.2000,1.2000,1500
2011-04-06,1.2000,1.2500,1.2000,1.2500,1500
2011-04-07,1.2500,1.2500,1.2500,1.2500,0
2011-04-08,1.2500,1.2500,1.2500,1.2500,0
2011-04-11,1.2500,1.2500,1.2500,1.2500,10800
2011-04-12,1.2500,1.2500,1.2500,1.2500,0
2011-04-13,1.2500,1.2500,1.2500,1.2500,0
2011-04-14,1.2500,1.2500,1.2500,1.2500,0
2011-04-15,1.2500,1.2500,1.2500,1.2500,0
2011-04-18,1.2500,1.2500,1.2500,1.2500,0
2011-04-19,1.2500,1.2500,1.2500,1.2500,0
2011-04-20,1.2500,1.2500,1.2500,1.2500,0
2011-04-21,1.2500,1.2500,1.2500,1.2500,0
2011-04-25,1.2500,1.2500,1.2500,1.2500,0
2011-04-26,1.2500,1.2500,1.2500,1.2500,10000
2011-04-27,1.2500,1.2500,1.2500,1.2500,10000
2011-04-28,1.2500,1.2500,1.2500,1.2500,5300
2011-04-29,1.2000,1.2000,1.2000,1.2000,300
2011-05-02,1.2000,1.2000,1.2000,1.2000,0
2011-05-03,1.2500,1.2500,1.2500,1.2500,7500
2011-05-04,1.2500,1.2500,1.2500,1.2500,0
2011-05-05,1.2500,1.2500,1.2500,1.2500,0
2011-05-06,1.2500,1.2500,1.2500,1.2500,0
2011-05-09,1.2500,1.2500,1.2500,1.2500,0
2011-05-10,1.2500,1.2500,1.2500,1.2500,0
2011-05-11,1.2500,1.2500,1.2500,1.2500,0
2011-05-12,1.2500,1.2500,1.2500,1.2500,0
2011-05-13,1.1500,1.1500,1.1500,1.1500,900
2011-05-16,1.2500,1.2500,1.2500,1.2500,1000
2011-05-17,1.2500,1.2500,1.2500,1.2500,200
2011-05-18,1.2500,1.2500,1.1000,1.2000,14900
2011-05-19,1.2500,1.2500,1.2500,1.2500,1000
2011-05-20,1.2500,1.2500,1.2500,1.2500,11900
2011-05-23,1.2500,1.2500,1.2500,1.2500,16500
2011-05-24,1.2100,1.2100,1.2100,1.2100,6000
2011-05-25,1.1600,1.1600,1.1600,1.1600,5000
