date,open,high,low,close,volume
2018-10-25,16.7500,17.4500,16.4800,17.0000,9911625
2018-10-26,16.5200,16.8300,15.7800,16.4500,2498050
2018-10-29,16.4500,16.6877,15.2500,15.4100,1630701
2018-10-30,15.6300,15.6700,14.6234,15.2600,1135476
2018-10-31,15.2900,16.5100,15.2900,15.9300,1819189
2018-11-01,16.0900,16.3800,15.7500,16.1600,708629
2018-11-02,16.2500,16.5500,16.0050,16.5000,711713
2018-11-05,16.6600,17.1499,16.5000,17.0100,525488
2018-11-06,17.0000,17.4400,16.7100,17.2000,704397
2018-11-07,17.0700,17.3000,16.5600,16.6500,465551
2018-11-08,16.7900,16.8300,16.2800,16.3100,254264
2018-11-09,16.3300,16.5200,15.3600,16.5100,799993
2018-11-12,16.3900,16.7000,16.2051,16.5300,366292
2018-11-13,16.4700,17.1700,16.3800,16.7500,402566
2018-11-14,16.7500,17.1672,16.7000,16.8900,322261
2018-11-15,16.6100,17.1500,16.5100,16.8900,444538
2018-11-16,16.7900,17.1300,16.7500,17.0200,410378
2018-11-19,17.4900,18.1200,17.1000,17.5700,2743796
2018-11-20,18.0000,18.2500,17.2800,17.4800,3055927
2018-11-21,17.7600,18.1200,16.5700,18.1200,2638837
2018-11-23,18.0900,18.2499,17.8100,18.0900,853083
2018-11-26,18.2100,18.4800,17.3600,17.9200,1167036
2018-11-27,18.0400,18.1999,17.5700,18.0800,1091248
2018-11-28,18.1200,19.2100,18.0400,19.2000,1943416
2018-11-29,20.2500,21.4500,15.9500,16.1000,6776490
2018-11-30,16.4100,17.3500,16.2500,16.8400,2185093
2018-12-03,17.2200,17.4000,16.9200,17.0100,1277904
2018-12-04,16.9000,17.3000,16.7800,16.8700,958603
2018-12-06,16.4800,16.8500,15.5600,16.8300,1034258
2018-12-07,16.6500,16.9900,15.4000,15.4400,859541
2018-12-10,15.4500,15.5000,14.4500,15.1300,988176
2018-12-11,15.3900,15.7300,14.5000,14.8500,801270
2018-12-12,14.9500,15.1400,13.8900,13.9000,1176086
2018-12-13,13.8300,13.9000,12.5800,13.0500,1630846
2018-12-14,13.0000,13.9500,12.8800,13.7700,812058
2018-12-17,13.6500,13.7818,13.0600,13.2500,821743
2018-12-18,13.3000,14.1800,13.3000,13.7500,625317
2018-12-19,13.8800,14.4400,13.4500,13.5600,521824
2018-12-20,13.5000,13.7300,12.7600,12.9800,660261
2018-12-21,13.0700,13.2000,12.4400,12.7800,3338083
2018-12-24,12.6000,12.8700,12.4000,12.5100,242034
2018-12-26,12.5600,14.1000,12.5300,14.1000,864564
2018-12-27,13.8400,14.2300,13.3300,14.2200,507453
2018-12-28,14.1800,14.9400,14.0000,14.8200,474935
2018-12-31,14.8900,15.1300,14.4500,14.8400,514757
2019-01-02,14.7300,16.3500,14.5801,16.1700,1040834
2019-01-03,15.9900,16.0000,14.6100,15.0400,874866
2019-01-04,15.2400,15.7400,15.0500,15.3000,469343
2019-01-07,15.4700,16.3300,15.3200,16.2600,663365
