date,open,high,low,close,volume
1999-11-01,179.5000,183.0000,178.0000,180.7000,5534000
1999-11-02,181.0000,181.5000,176.9000,178.0000,4053000
1999-11-03,179.4000,182.4000,178.6000,180.6000,4550600
1999-11-04,183.1000,185.5000,181.3000,182.1000,5710100
1999-11-05,186.1000,186.5000,183.0000,183.4000,4875800
1999-11-08,182.6000,199.6000,181.9000,197.2000,9865600
1999-11-09,199.3000,199.5000,192.3000,194.6000,7440500
1999-11-10,193.4000,202.4000,193.3000,197.7000,6708500
1999-11-11,198.5000,203.0000,192.3000,193.1000,3973600
1999-11-12,196.0000,198.9000,190.3000,196.9000,4476800
1999-11-15,196.0000,207.5000,195.4000,205.0000,5918700
1999-11-16,205.7000,212.9000,203.7000,212.6000,5914300
1999-11-17,211.1000,212.0000,204.9000,206.2000,4104200
1999-11-18,206.6000,215.5000,203.0000,213.9000,4012400
1999-11-19,213.9000,219.2000,210.0000,218.8000,4335100
1999-11-22,219.5000,230.2000,218.0000,226.8000,5701600
1999-11-23,226.0000,229.3000,218.0000,221.2000,6488900
1999-11-24,226.3000,233.0000,225.3000,231.0000,5666300
1999-11-26,233.0000,235.3000,225.4000,226.9000,2008900
1999-11-29,229.3000,234.5000,224.9000,226.1000,4632600
1999-11-30,223.4000,223.6000,210.5000,212.8000,6060600
1999-12-01,230.0000,234.0000,224.9000,228.9000,13193500
1999-12-02,230.4000,249.8000,227.8000,245.8000,9808100
1999-12-03,250.0000,258.8000,248.9000,253.0000,10008100
1999-12-06,253.0000,282.0000,250.7000,280.8000,16098700
1999-12-07,296.0000,353.0000,286.1000,348.0000,66335500
1999-12-08,321.9000,329.3000,311.0000,319.6000,24906900
1999-12-09,319.9000,341.3000,312.1000,340.0000,11418000
1999-12-10,346.8000,357.5000,334.3000,353.5000,9545700
1999-12-13,348.0000,356.3000,344.5000,351.1000,5696600
1999-12-14,348.3000,350.5000,333.0000,333.1000,7200000
1999-12-15,327.4000,334.8000,315.5000,327.5000,8283100
1999-12-16,332.5000,341.9000,332.4000,341.0000,4970300
1999-12-17,344.8000,352.1000,337.0000,350.0000,5163000
1999-12-20,348.0000,369.9000,346.0000,369.5000,6882100
1999-12-21,367.6000,408.3000,364.8000,405.6000,10107600
1999-12-22,405.8000,421.2000,394.8000,419.3000,8639300
1999-12-23,417.5000,426.3000,400.0000,402.6000,4617100
1999-12-27,393.8000,428.1000,377.9000,415.0000,9539500
1999-12-28,410.0000,420.0000,390.0000,390.3000,5224100
1999-12-29,396.4000,410.0000,394.0000,403.7000,2940800
1999-12-30,421.8000,448.0000,409.0000,416.1000,6243100
1999-12-31,420.4000,441.5000,410.1000,432.7000,2529100
2000-01-03,442.9000,475.9000,429.5000,475.0000,9617400
2000-01-04,464.5000,500.1000,442.0000,443.0000,17467200
2000-01-05,430.5000,431.1000,402.0000,420.3000,20798700
2000-01-06,406.3000,413.0000,361.0000,368.2000,17825300
2000-01-07,366.8000,408.0000,363.0000,407.3000,12249900
2000-01-10,432.5000,451.3000,420.0000,436.1000,15255600
2000-01-11,423.9000,426.3000,392.0000,397.4000,18940400
2000-01-12,389.9000,394.0000,355.0000,357.6000,18525000
2000-01-13,366.5000,377.4000,338.0000,346.9000,16940700
2000-01-14,355.0000,363.0000,342.0000,353.0000,12308200
2000-01-18,341.8000,350.0000,335.0000,341.2000,7676500
2000-01-19,336.0000,367.4000,336.0000,364.0000,7950000
2000-01-20,369.1000,371.9000,349.0000,351.9000,7837400
2000-01-21,355.0000,360.0000,348.0000,351.9000,4403800
2000-01-24,353.9000,360.5000,324.0000,324.3000,6332300
2000-01-25,327.0000,347.0000,316.3000,345.6000,8647000
2000-01-26,340.5000,343.5000,327.8000,328.6000,4851000
2000-01-27,332.4000,339.6000,325.1000,337.4000,4805500
2000-01-28,333.6000,343.0000,309.6000,313.5000,9164000
2000-01-31,310.0000,322.1000,303.0000,322.1000,8956300
2000-02-01,319.4000,329.8000,310.8000,317.4000,6172700
2000-02-02,321.5000,336.8000,317.0000,328.0000,6703300
2000-02-03,334.9000,361.0000,334.0000,360.3000,9764400
2000-02-04,364.5000,372.5000,348.0000,353.5000,8454000
2000-02-07,354.0000,363.0000,347.0000,354.0000,5216100
2000-02-08,359.0000,379.8000,358.5000,373.1000,7457200
2000-02-09,370.0000,377.3000,360.1000,362.3000,5979700
2000-02-10,362.5000,366.0000,353.9000,365.0000,4495100
2000-02-11,363.9000,365.0000,341.8000,342.7000,4789600
2000-02-14,173.5000,173.8000,163.8000,165.8000,3791400
2000-02-15,166.4000,173.3000,156.0000,170.0000,10661600
2000-02-16,168.3000,170.0000,160.0000,161.6000,6410200
2000-02-17,165.9000,168.0000,161.1000,163.2000,6217300
2000-02-18,161.3000,163.2000,155.4000,156.1000,7321900
2000-02-22,156.9000,157.0000,148.9000,153.8000,8845800
2000-02-23,153.6000,170.0000,153.0000,166.2000,10594900
2000-02-24,166.5000,171.6000,159.3000,168.1000,8253000
2000-02-25,165.6000,170.3000,160.3000,165.2000,5709000
2000-02-28,161.5000,164.8000,152.1000,161.9000,9210100
2000-02-29,164.4000,169.9000,155.5000,159.7000,6842300
2000-03-01,157.5000,163.0000,155.0000,158.5000,5826100
2000-03-02,155.0000,159.0000,152.0000,154.9000,6113700
2000-03-03,156.0000,163.0000,151.0000,158.0000,7486000
2000-03-06,163.5000,177.0000,162.7000,171.6000,12783200
2000-03-07,174.9000,180.4000,168.0000,171.4000,8672800
2000-03-08,174.6000,181.0000,165.0000,177.0000,8617200
2000-03-09,175.3000,185.0000,172.0000,183.3000,8702500
2000-03-10,181.2000,183.0000,175.6000,178.1000,5203300
2000-03-13,168.1000,180.5000,168.0000,175.8000,6016500
2000-03-14,178.5000,183.5000,167.9000,168.8000,7884300
2000-03-15,168.8000,169.0000,155.1000,158.5000,8821700
2000-03-16,159.2000,173.0000,156.1000,170.2000,8524600
2000-03-17,169.1000,176.9000,169.0000,171.1000,5611500
2000-03-20,172.2000,175.4000,165.3000,172.0000,5202300
2000-03-21,173.0000,193.3000,168.6000,191.8000,12616400
2000-03-22,189.4000,205.6000,188.5000,197.2000,15692300
2000-03-23,193.4000,203.0000,190.5000,191.0000,7354300
2000-03-24,193.5000,201.0000,188.0000,194.0000,7353900
2000-03-27,195.6000,205.2000,195.0000,200.8000,8639900
2000-03-28,197.0000,200.8000,193.9000,195.0000,6415100
2000-03-29,193.4000,196.5000,174.0000,177.1000,10770000
2000-03-30,172.5000,187.1000,160.3000,169.5000,15866900
2000-03-31,175.3000,177.3000,160.5000,171.4000,10842000
2000-04-03,168.8000,173.0000,159.4000,160.1000,9661400
2000-04-04,165.0000,171.0000,132.8000,167.4000,21264200
2000-04-05,161.6000,169.9000,158.5000,165.6000,13685900
2000-04-06,161.9000,171.3000,150.7000,154.0000,27995200
2000-04-07,156.8000,160.0000,150.8000,151.1000,12480200
2000-04-10,152.9000,153.0000,141.0000,141.9000,12430000
2000-04-11,139.6000,142.5000,132.5000,133.5000,14426800
2000-04-12,136.6000,142.9000,130.5000,136.2000,14847900
2000-04-13,137.0000,148.1000,134.3000,136.1000,14011400
2000-04-14,130.3000,135.3000,111.0000,116.0000,19233400
2000-04-17,111.3000,122.9000,108.0000,114.4000,22234300
2000-04-18,116.9000,127.5000,115.5000,126.7000,12433000
2000-04-19,129.4000,134.5000,122.0000,125.9000,9163000
2000-04-20,126.5000,129.1000,119.5000,123.1000,6550300
2000-04-24,115.0000,119.1000,107.0000,113.9000,10987400
2000-04-25,118.8000,127.0000,118.8000,124.5000,12578200
2000-04-26,124.5000,126.9000,118.3000,119.1000,8334800
2000-04-27,114.5000,126.8000,113.0000,124.3000,9982100
2000-04-28,126.8000,131.9000,125.5000,130.3000,7454400
2000-05-01,134.8000,136.0000,126.9000,130.9000,7126200
2000-05-02,129.1000,131.5000,121.6000,122.6000,6829100
2000-05-03,120.3000,124.8000,116.1000,122.1000,7191500
2000-05-04,124.5000,127.0000,121.1000,124.2000,6500000
2000-05-05,122.0000,128.0000,122.0000,125.7000,4187500
2000-05-08,122.9000,125.5000,120.5000,120.8000,3979400
2000-05-09,121.5000,122.3000,115.0000,117.4000,6828100
2000-05-10,115.3000,122.5000,112.5000,118.9000,9386300
2000-05-11,121.8000,126.0000,119.5000,125.3000,7481400
2000-05-12,126.5000,131.4000,125.1000,125.7000,7426700
2000-05-15,125.1000,130.0000,120.6000,130.0000,5796000
2000-05-16,133.4000,138.3000,130.0000,135.6000,10179700
