date,open,high,low,close,volume
2021-01-28,11.5000,12.6394,11.3400,11.5000,6406064
2021-01-29,12.3000,12.3900,11.7000,12.0500,1418491
2021-02-01,12.2600,13.7300,12.2600,13.6200,1081392
2021-02-02,14.1900,14.4500,13.8000,14.1100,1505630
2021-02-03,14.5100,14.9800,14.4000,14.5000,833116
2021-02-04,14.8000,15.1000,14.1500,14.2500,1300976
2021-02-05,14.2500,14.8900,14.2100,14.7900,585716
2021-02-08,15.1800,15.4000,15.0000,15.2000,607002
2021-02-09,15.2000,15.9900,15.1270,15.9300,506717
2021-02-10,16.5100,17.6000,16.2900,17.4300,976724
2021-02-11,17.9500,18.6900,17.6501,18.6900,980186
2021-02-12,18.6900,20.5700,18.5000,20.1200,1128015
2021-02-16,21.2500,21.9000,20.2000,20.7000,1232339
2021-02-17,21.0500,22.1000,20.6600,21.6900,768746
2021-02-18,21.9000,21.9000,19.9100,20.0600,924133
2021-02-19,21.7900,22.0000,20.9101,21.7700,829569
2021-02-22,22.0000,22.5800,20.8200,20.8600,690728
2021-02-23,20.5000,20.5000,18.7600,19.8300,658748
2021-02-24,20.2300,20.8700,19.8300,20.0600,584294
2021-02-25,20.0000,20.3700,19.2300,19.3500,354851
2021-02-26,19.6500,20.0350,18.8800,19.9400,316316
2021-03-01,20.3900,20.7265,19.9900,20.2100,311036
2021-03-02,20.4500,20.7500,20.2400,20.4600,242796
2021-03-03,20.5600,21.4600,20.1000,21.0000,662649
2021-03-04,20.7400,20.9800,19.7300,20.2300,472021
2021-03-05,20.1400,20.4799,18.7000,19.3000,488167
2021-03-08,19.3900,19.8900,18.8100,18.8200,312516
2021-03-09,18.8800,20.1900,18.8800,19.6900,380812
2021-03-10,20.1400,21.3734,20.0500,20.4000,629909
2021-03-11,20.6500,23.7500,20.6500,23.3500,1515305
2021-03-12,24.2600,25.3899,22.8500,25.2500,1272734
2021-03-15,24.5100,26.5489,24.5000,25.1100,1122607
2021-03-16,25.2900,26.3000,24.3200,25.1200,963708
2021-03-17,25.1200,27.3000,25.0000,26.7300,663539
2021-03-18,27.0000,28.6900,26.5000,26.6400,932816
2021-03-19,27.1200,28.7800,26.8500,28.2500,661072
2021-03-22,27.2500,28.0000,24.1100,26.7800,2055185
2021-03-23,26.4400,26.7200,22.6800,23.0900,1158952
2021-03-24,24.1000,24.8500,23.5000,23.7100,816033
2021-03-25,23.7000,26.9000,22.9500,26.6500,1062673
2021-03-26,27.2200,27.6300,24.8900,26.0400,998650
2021-03-29,25.9900,26.1800,24.1200,24.4800,554387
2021-03-30,24.4000,25.4400,24.1000,24.6200,326523
2021-03-31,24.7500,24.9900,24.1500,24.3400,221380
2021-04-01,24.4900,26.4800,24.4900,26.4800,680938
2021-04-05,26.5800,27.4499,25.4200,26.4000,591791
2021-04-06,26.5000,27.9500,25.7900,25.9200,686881
2021-04-07,26.2900,27.6488,26.0900,27.3800,782128
2021-04-08,27.0000,30.9000,26.4400,30.5000,2499696
2021-04-09,30.5000,31.2800,28.5800,31.0500,1672699
2021-04-12,31.0000,31.0000,28.0300,29.7300,1060534
2021-04-13,29.5700,30.6899,28.1100,28.3700,848917
2021-04-14,28.5000,30.5500,28.1100,28.3800,931606
2021-04-15,29.1200,30.2699,28.6001,29.3400,531973
2021-04-16,29.5200,32.4500,29.5200,31.8700,1276291
