A,Healthcare
AA,Basic Materials
AAL,Industrials
AAOI,Technology
ABBV,Healthcare
ABMD,Healthcare
ABNB,Consumer Cyclical
ABT,Healthcare
ABUS,Healthcare
ACAD,Healthcare
ACFN,Technology
ACHV,Healthcare
ACI,Consumer Defensive
ACN,Technology
ACT,Financial Services
ACTG,Industrials
ADBE,Technology
ADMP,Healthcare
AEHR,Technology
AEI,Real Estate
AEO,Consumer Cyclical
AERC,Industrials
AEZS,Healthcare
AFMD,Healthcare
AFPW,Basic Materials
AFRM,Technology
AG,Basic Materials
AGR,Utilities
AHPI,Healthcare
AHT,Real Estate
AI,Technology
AIG,Financial Services
AITX,Technology
AJRD,Industrials
AKAM,Technology
ALDX,Healthcare
ALF,Technology
ALK,Industrials
ALLY,Financial Services
ALPP,Industrials
AM,Energy
AMAT,Technology
AMBA,Technology
AMC,Communication Services
AMD,Technology
AME,Industrials
AMGN,Healthcare
AMKR,Technology
AMP,Financial Services
AMPL,Technology
AMR,Basic Materials
AMRN,Healthcare
AMRS,Basic Materials
AMT,Real Estate
AMZN,Consumer Cyclical
ANET,Technology
ANY,Technology
APA,Energy
APM,Healthcare
APP,Technology
APPS,Technology
APRN,Consumer Cyclical
APT,Industrials
AR,Energy
ARCB,Industrials
ARNA,Healthcare
ARQQ,Technology
ARWR,Healthcare
ASAN,Technology
ASM,Basic Materials
ASML,Technology
ASND,Healthcare
ASO,Consumer Cyclical
ASTR,Industrials
ATAI,Healthcare
ATER,Consumer Cyclical
ATIP,Healthcare
ATOM,Technology
ATUS,Communication Services
ATVI,Communication Services
ATVK,Industrials
AU,Basic Materials
AUD,Communication Services
AUNXF,Energy
AUPH,Healthcare
AVCT,Technology
AVGO,Technology
AVGR,Healthcare
AVLR,Technology
AVTR,Basic Materials
AXS,Financial Services
AYRO,Consumer Cyclical
AZ,Industrials
AZN,Healthcare
B,Industrials
BA,Industrials
BABA,Consumer Cyclical
BABL,Consumer Cyclical
BAC,Financial Services
BAH,Industrials
BARK,Consumer Cyclical
BB,Technology
BBBY,Consumer Cyclical
BBIG,Consumer Cyclical
BBIO,Healthcare
BBWI,Consumer Cyclical
BBY,Consumer Cyclical
BCRX,Healthcare
BCTX,Healthcare
BEEM,Technology
BFLY,Healthcare
BFRI,Healthcare
BG,Consumer Defensive
BHP,Basic Materials
BHVN,Healthcare
BIDU,Communication Services
BIIB,Healthcare
BILL,Technology
BIMI,Healthcare
BIRD,Consumer Cyclical
BITW,
BJDX,Healthcare
BKKT,Technology
BKNG,Consumer Cyclical
BLK,Financial Services
BLNK,Industrials
BLU,Healthcare
BLUE,Healthcare
BMY,Healthcare
BNTX,Healthcare
BOXL,Technology
BP,Energy
BRN,Energy
BROS,Consumer Cyclical
BTBT,Financial Services
BTCS,Financial Services
BTI,Consumer Defensive
BTT,Financial Services
BTU,Energy
BX,Financial Services
BXP,Real Estate
BYDDF,Consumer Cyclical
BYND,Consumer Defensive
C,Financial Services
